answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3427,absa_sentiment_3427,absa_scores_3427,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,sentiment_tb
75.0,75.0,71.0,0.2333333333333333,neutral,"Ohne Pflichten, keine Rechte! Das Ausländerstimmrecht gilt es abzulehnen und erst als Folge einer erfolgreichen Integration zu vergeben. https://t.co/CFNQfo4Fi5",pflichten rechte ausländerstimmrecht gelten ablehnen erst folgen erfolgreich integration vergeben,"{'Ohne': 0.43, 'Pflichten': 0.21, 'keine': 0, 'Rechte': 0.25, 'Das': 0.28, 'Ausländerstimmrecht': 0.3975, 'gilt': 0, 'es': 0, 'abzulehnen': 0.07, 'und': 0.08, 'erst': 0, 'als': 0.04, 'Folge': 0, 'einer': 0, 'erfolgreichen': 0.06, 'Integration': 0.13, 'zu': 0.07, 'vergeben': 0}",negative,"[0.33677176, 0.4212922, 0.24193604]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,14.0,-0.425,neutral,Wir haben immer vor diesem Szenario gewarnt! Die Linke hält eine neue AHV-Reform nach Annahme #STAF für wenig dringlich und wehrt sie sich gegen ein höheres Frauenrentenalter. Ebenfalls wird erneut mit einer Verknüpfung geliebäugelt. ⁦⁦@STAF_Nein⁩ https://t.co/Od1LC51Lak,immer szenario warnen link halten neue ahv reform annahme staf wenig dringlich wehren hoch frauenrentenalter ebenfalls erneut verknüpfung liebäugeln,,,,"{'Wir': 0.03, 'haben': 0.24, 'immer': 0.05, 'vor': 0, 'diesem': 0.03, 'Szenario': 0.06, 'gewarnt': 0.04, 'Die': 0.03, 'Linke': 0.06, 'hält': 0, 'eine': 0, 'neue': 0.13, 'AHV-Reform': 0, 'nach': 0.05, 'Annahme': 0.07, 'STAF': 0, 'für': 0, 'wenig': 0, 'dringlich': 0.09, 'und': 0.1, 'wehrt': 0, 'sie': 0, 'sich': 0, 'gegen': 0, 'ein': 0, 'höheres': 1.0, 'Frauenrentenalter': 0.625, 'Ebenfalls': 0, 'wird': 0, 'erneut': 0, 'mit': 0.06, 'einer': 0, 'Verknüpfung': 0, 'geliebäugelt': 0.11, '\u2066\u2066\u2069': 0}",neutral,"[0.6452261, 0.14844626, 0.20632765]",,,,,,,,,,,,,,,,,,,,,,negative
25.0,25.0,28.0,-0.3333333333333333,neutral,"@retolipp @STAF_Nein Mehr bezahlen ist keine Alternative, denn bei einem voraussichtlichen Defizit von 12 Milliarden im Jahre 2035 alleine verursacht durch das Umlageergebnis sind die Kosten durch die Gesellschaft nicht mehr zu tragen! Es gibt nur eins: Rentenalter anpassen oder gar flexibilisieren.",mehr bezahlen alternative voraussichtlich defizit milliarden jahre alleine verursachen umlageergebnis kosten gesellschaft mehr tragen geben eins rentenalter anpassen gar flexibilisieren,,,,"{'Mehr': 0.15, 'bezahlen': 0, 'ist': 0.09, 'keine': 0, 'Alternative': 0.06, 'denn': 0, 'bei': 0, 'einem': 0.17, 'voraussichtlichen': 0, 'Defizit': 0.09, 'von': 0, '12': 0, 'Milliarden': 0, 'im': 0, 'Jahre': 0, '2035': 0, 'alleine': 0.05, 'verursacht': 0.07, 'durch': 0, 'das': 0, 'Umlageergebnis': 0.105, 'sind': 0, 'die': 0.48, 'Kosten': 0.22, 'Gesellschaft': 0.09, 'nicht': 0.02, 'mehr': 0.15, 'zu': 0.25, 'tragen': 0, 'Es': 0.09, 'gibt': 0, 'nur': 0.18, 'eins': 0, 'Rentenalter': 0.8400000000000001, 'anpassen': 1.0, 'oder': 0.52, 'gar': 0, 'flexibilisieren': 0.19625}",neutral,"[0.4842253, 0.10818907, 0.40758562]",,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,@MarcelWaldvogel @STAF_Nein Gemäss Sorgenbarometer ist eine Erhöhung der Mehrwertsteuer um 1 Prozent über die nächsten fünf Jahre eine Lösung. Für gut die Hälfte ist die Flexibilisierung des Rentenalters sowie die Erhöhung des Rentenalters der Frauen auf 65 ein gangbarer Weg.,gemäss sorgenbarometer erhöhung mehrwertsteuer prozent nächst fünf jahre lösung gut hälfte flexibilisierung rentenalters sowie erhöhung rentenalters frauen gangbar,,,,"{'Gemäss': 0.325, 'Sorgenbarometer': 0.08, 'ist': 0.86, 'eine': 0.06, 'Erhöhung': 0.28, 'der': 0.45, 'Mehrwertsteuer': 0, 'um': 0.27, '1': 0, 'Prozent': 0.06, 'über': 0.07, 'die': 0.45, 'nächsten': 0.05, 'fünf': 0.04, 'Jahre': 0.07, 'Lösung': 0.17, 'Für': 0.3, 'gut': 0, 'Hälfte': 0.09, 'Flexibilisierung': 0, 'des': 0, 'Rentenalters': 0.86, 'sowie': 0, 'Frauen': 0.22, 'auf': 0, '65': 0, 'ein': 0.06, 'gangbarer': 0.2, 'Weg': 0}",positive,"[0.018167445, 0.0037813913, 0.9780512]",,,,,,,,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5666666666666667,neutral,"@MarcelWaldvogel @STAF_Nein Es gibt verschiedene Möglichkeiten: Erhöhung und Flexibilisierung des Rentenalters oder finanzielle Anreize sicher­stellen, dass freiwilliges Arbeiten über das ordentliche Rentenalter hinaus attraktiver wird. Ebenfalls müssen über 55 Jährige wieder besser Eingegliedert werden.",geben verschieden möglichkeiten erhöhung flexibilisierung rentenalters finanzielle anreize sichern stellen freiwillig arbeiten ordentliche rentenalter hinaus attraktiv ebenfalls müssen jährige gut eingliedern,,,,"{'Es': 0, 'gibt': 0.17, 'verschiedene': 0, 'Möglichkeiten': 0, 'Erhöhung': 0, 'und': 0.34, 'Flexibilisierung': 0, 'des': 0, 'Rentenalters': 0.08, 'oder': 0.2, 'finanzielle': 0.11, 'Anreize': 0.27, 'sicher\xadstellen': 0, 'dass': 0.06, 'freiwilliges': 0.09, 'Arbeiten': 0.13, 'über': 0.05, 'das': 0.06, 'ordentliche': 0, 'Rentenalter': 0.08, 'hinaus': 0, 'attraktiver': 0.065, 'wird': 0, 'Ebenfalls': 0, 'müssen': 0.11, '55': 0, 'Jährige': 0, 'wieder': 0.09, 'besser': 0.07, 'Eingegliedert': 0, 'werden': 0}",positive,"[0.040355682, 0.010541295, 0.949103]",,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"Jedes fünfte Zürcher KMU sieht sich wegen der Coronakrise gefährdet und wir wollen jetzt mit dem staatlichen Vaterschaftsurlaub Arbeitgeber und Arbeitnehmer zusätzlich belasten? 

@lohnabzuegeNein 

 https://t.co/AZjx0Gz4hE via @NZZ",jed fünfte zürcher kmu sehen wegen coronakrise gefährden staatlich vaterschaftsurlaub arbeitgeber arbeitnehmer zusätzlich belasten via,,,,,,,"{'Jedes': 0, 'fünfte': 0.11, 'Zürcher': 0, 'KMU': 0, 'sieht': 0.1, 'sich': 0, 'wegen': 0, 'der': 0.27, 'Coronakrise': 0, 'gefährdet': 0, 'und': 0.14, 'wir': 0, 'wollen': 0.31, 'jetzt': 0.18, 'mit': 0.26, 'dem': 0.20500000000000002, 'staatlichen': 0.31, 'Vaterschaftsurlaub': 0.745, 'Arbeitgeber': 0, 'Arbeitnehmer': 0, 'zusätzlich': 0, 'belasten': 0.42, 'via': 0.88}",neutral,"[0.84106416, 0.10586598, 0.053069953]",,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @FlorianSchwab: Keines unserer Sozialwerke ist nachhaltig finanziert. Und doch will Bern grad zwei neue draufpacken: Vaterschaftsurlaub…,sozialwerke nachhaltig finanzieren bern grad zwei neue draufpacken vaterschaftsurlaub,,,,,,,"{'Keines': 0.13, 'unserer': 0.08, 'Sozialwerke': 0.065, 'ist': 0.15, 'nachhaltig': 0, 'finanziert': 0.06, 'Und': 0.08, 'doch': 0, 'will': 0, 'Bern': 0.09, 'grad': 0, 'zwei': 0.67, 'neue': 0.33, 'draufpacken': 0, 'Vaterschaftsurlaub': 0.825, '…': 0}",positive,"[0.18758763, 0.009817662, 0.8025948]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @seber1990: Alle die Vaterschaftsurlaub wollen sagen wir können uns das leisten. Wieso können Sie sich das selbst nicht leisten ohne das…,all vaterschaftsurlaub sagen leisten wieso leisten,,,,,,,"{'Alle': 0, 'die': 0.03, 'Vaterschaftsurlaub': 0.99, 'wollen': 0, 'sagen': 0, 'wir': 0, 'können': 0, 'uns': 0, 'das': 0, 'leisten': 0.07, 'Wieso': 0, 'Sie': 0, 'sich': 0, 'selbst': 0, 'nicht': 0, 'ohne': 0.05, '…': 0}",neutral,"[0.49991164, 0.0587599, 0.4413285]",,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,"RT @lohnabzuegeNein: Jetzt höhere Lohnabzüge verhindern: 
➡️NEIN stimmen zum staatlichen #Vaterschaftsurlaub! https://t.co/HJOj9wZrJf",hoch lohnabzüge verhindern nein stimmen staatlich vaterschaftsurlaub,,,,,,,"{'Jetzt': 0.09, 'höhere': 0.06, 'Lohnabzüge': 0.145, 'verhindern': 0, '️NEIN': 0, 'stimmen': 0, 'zum': 0.19, 'staatlichen': 0.5, 'Vaterschaftsurlaub': 0.65}",positive,"[0.18542239, 0.18159738, 0.6329802]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"- 1.1 Milliarden Defizit im Bundesbudget 2021
- 50 Milliarden Schulden wegen der Corona-Krise
- Abbau der Schulden dauert ca. 15 Jahre
- 20‘000 weniger Lehrstellen 2021

Und unsere beste Idee ist JETZT die Einführung eines staatlichen Vaterschaftsurlaubs?
⁦@lohnabzuegeNein⁩ https://t.co/tpdqhghEJe",milliarden defizit bundesbudget milliarden schulden wegen corona krise abbau schulden dauern ca jahre wenig lehrstellen gut idee einführung staatlich vaterschaftsurlaubs,,,,,,,"{'1.1': 0, 'Milliarden': 0, 'Defizit': 0.04, 'im': 0, 'Bundesbudget': 0.04, '2021': 0, '50': 0, 'Schulden': 0, 'wegen': 0, 'der': 0.06, 'Corona-Krise': 0, 'Abbau': 0, 'dauert': 0, 'ca.': 0, '15': 0, 'Jahre': 0.04, '20‘000': 0, 'weniger': 0.05, 'Lehrstellen': 0.08, 'Und': 0.18, 'unsere': 0.17, 'beste': 0, 'Idee': 0, 'ist': 0.27, 'JETZT': 0.82, 'die': 0.06, 'Einführung': 0, 'eines': 0, 'staatlichen': 0.34, 'Vaterschaftsurlaubs': 0.69, '\u2066\u2069': 0}",neutral,"[0.8093656, 0.018796323, 0.17183815]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @thomas_aeschi: Unterschreiben Sie noch heute das Referendum gegen den Vaterschaftsurlaub. NEIN zu immer mehr Lohnabgaben. Und NEIN, dam…",unterschreiben heute referendum vaterschaftsurlaub nein immer mehr lohnabgaben nein dam,,,,,,,"{'Unterschreiben': 0.38, 'Sie': 0, 'noch': 0, 'heute': 0.14, 'das': 0, 'Referendum': 1.0, 'gegen': 1.0, 'den': 0.15, 'Vaterschaftsurlaub': 0.6000000000000001, 'NEIN': 0.05, 'zu': 0.04, 'immer': 0, 'mehr': 0.04, 'Lohnabgaben': 0.05, 'Und': 0.04, 'dam': 0.06, '…': 0}",neutral,"[0.6566587, 0.012405383, 0.33093593]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @thomas_aeschi: Unterschreiben Sie noch heute das Referendum gegen den teuren Vaterschaftsurlaub unter https://t.co/xkSP5BIkn9. Es fehle…,unterschreiben heute referendum teuer vaterschaftsurlaub fehlen,,,,,,,"{'Unterschreiben': 0.25, 'Sie': 0, 'noch': 0, 'heute': 0.13, 'das': 0, 'Referendum': 0.35, 'gegen': 0.76, 'den': 0.15, 'teuren': 1.0, 'Vaterschaftsurlaub': 0.6950000000000001, 'unter': 0, 'Es': 0.12, 'fehle': 0, '…': 0}",negative,"[0.13444833, 0.7449139, 0.120637685]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.6666666666666666,neutral,"Vaterschaftsurlaub bezahlt durch mehr Lohnabzüge für die Arbeitnehmer? Das ist asozial! Vorrang hat die Rettung der AHV und die Rückzahlunger der IV-Schulden, nicht der Papi-Plausch! #Vaterschaftsurlaub #Referendum https://t.co/wU3aF3LRnC",vaterschaftsurlaub bezahlen mehr lohnabzüge arbeitnehmer asozial vorrang rettung ahv rückzahlunger iv schulden papi plausch vaterschaftsurlaub referendum,,,,,,,"{'Vaterschaftsurlaub': 0.525, 'bezahlt': 0.28, 'durch': 0.12, 'mehr': 0.04, 'Lohnabzüge': 0.09, 'für': 0.03, 'die': 0.02, 'Arbeitnehmer': 0.07, 'Das': 0.02, 'ist': 0.05, 'asozial': 0, 'Vorrang': 0.03, 'hat': 0, 'Rettung': 0.04, 'der': 0.02, 'AHV': 0.07, 'und': 0.03, 'Rückzahlunger': 0, 'IV-Schulden': 0.07, 'nicht': 0.01, 'Papi-Plausch': 0.03, 'Referendum': 0.04}",negative,"[0.4250273, 0.5270681, 0.047904607]",,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @lohnabzuegeNein: Unser Komitee will den teuren #Vaterschaftsurlaub vors Volk bringen. Heute starten wir mit der Lancierung des Referend…,komitee teuer vaterschaftsurlaub vors volk bringen heute starten lancierung referend,,,,,,,"{'Unser': 0.13, 'Komitee': 0.13, 'will': 0, 'den': 0.1, 'teuren': 1.0, 'Vaterschaftsurlaub': 0.67, 'vors': 0, 'Volk': 0.19, 'bringen': 0.54, 'Heute': 0.16, 'starten': 0.2, 'wir': 0, 'mit': 0.07, 'der': 0.1, 'Lancierung': 0.25, 'des': 0, 'Referend': 0, '…': 0}",positive,"[0.039857857, 0.18978076, 0.77036136]",,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.25,neutral,"@Markus_Schmid_ Die Knappheit wird auch durch die Stadt Zürich selber verursacht, welche einen Anteil von 33% gemeinnützigen Wohnungsbau vorschreibt. Dadurch müssen günstige Wohnungen durch Luxuswohnungen quersubventioniert werden, damit diese überhaupt rentieren. Das kann nicht funktionieren...",knappheit stadt zürich selber verursachen welch anteil gemeinnützig wohnungsbau vorschreiben dadurch müssen günstige wohnungen luxuswohnungen quersubventioniert überhaupt rentieren funktionieren,,,,,,,,,,"{'Die': 0.08, 'Knappheit': 0, 'wird': 0, 'auch': 0.33, 'durch': 0, 'die': 0.08, 'Stadt': 0.09, 'Zürich': 0, 'selber': 0, 'verursacht': 0.52, 'welche': 0.11, 'einen': 0.03, 'Anteil': 0, 'von': 0, '33': 0, 'gemeinnützigen': 0, 'Wohnungsbau': 1.0, 'vorschreibt': 0, 'Dadurch': 0, 'müssen': 0.05, 'günstige': 0.07, 'Wohnungen': 0.09, 'Luxuswohnungen': 0.075, 'quersubventioniert': 0, 'werden': 0, 'damit': 0.03, 'diese': 0, 'überhaupt': 0.025, 'rentieren': 0, 'Das': 0.08, 'kann': 0.05, 'nicht': 0, 'funktionieren': 0, '...': 0}",negative,"[0.2822099, 0.5083733, 0.20941673]",,,,,,,,,,,,,,,,positive
25.0,25.0,28.0,-0.37,negative,"@BernardHirter @zac1967 1. Wir sind nicht per du - Anstand gilt auch im Internet. 😏
2. Neidisch? Nein, ich bitte um mehr Kapitalismus und weniger sozialen Wohnungsbau. Er soll unbedingt seine Wohnung zum Marktpreis anbieten, aber der ImmoBranche dafür nicht eine Moralpredigt halten. Doppelmoral stinkt",per anstehen gelten internet neidisch nein bitte mehr kapitalismus wenig sozial wohnungsbau unbedingt wohnung marktpreis anbieten immobranche dafür moralpredigt halten doppelmoral stinken,,,,,,,,,,"{'1.': 0, 'Wir': 0.01, 'sind': 0.01, 'nicht': 0.01, 'per': 0, 'du': 0, 'Anstand': 0.03, 'gilt': 0, 'auch': 0.01, 'im': 0, 'Internet': 0.07, '2.': 0, 'Neidisch': 0.05, 'Nein': 0.02, 'ich': 0.02, 'bitte': 0, 'um': 0.01, 'mehr': 0.1, 'Kapitalismus': 0.11, 'und': 0.09, 'weniger': 0, 'sozialen': 1.0, 'Wohnungsbau': 1.0, 'Er': 0, 'soll': 0, 'unbedingt': 0, 'seine': 0.02, 'Wohnung': 0.05, 'zum': 0.02, 'Marktpreis': 0.035, 'anbieten': 0.02, 'aber': 0.01, 'der': 0.02, 'ImmoBranche': 0, 'dafür': 0, 'eine': 0, 'Moralpredigt': 0, 'halten': 0, 'Doppelmoral': 0.025, 'stinkt': 0}",neutral,"[0.572902, 0.38258383, 0.04451416]",,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,Das Stimmrecht ist der erste Schritt zum kompletten Stimm- und Wahlrecht für Ausländer - das darf nicht akzeptiert werden. Dieses Recht darf nicht leichtfertig verschenkt werden! https://t.co/GZaRjMAoV3,stimmrecht erste schritt komplett stimm wahlrecht ausländer dürfen akzeptieren recht dürfen leichtfertig verschenken,,,,,,,,,,,,,"{'Das': 0.03, 'Stimmrecht': 0.22500000000000003, 'ist': 0.08, 'der': 0.03, 'erste': 0.06, 'Schritt': 0.09, 'zum': 0.035, 'kompletten': 0.08, 'Stimm-': 0, 'und': 0.05, 'Wahlrecht': 0, 'für': 0.05, 'Ausländer': 0.11, 'das': 0, 'darf': 0, 'nicht': 0.76, 'akzeptiert': 0.11, 'werden': 0, 'Dieses': 0.25, 'Recht': 0, 'leichtfertig': 0, 'verschenkt': 0.21000000000000002}",positive,"[0.31718203, 0.18158142, 0.50123656]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.8200000000000001,neutral,"Wer mitbestimmen will, soll sich einbürgern lassen. Die Einbürgerung ist der letzte Schritt einer gelungenen Integration und wird mit dem Stimm- und Wahlrecht belohnt. Das Stimmrecht einfach verschenken? Ganz sicher nicht! https://t.co/VfeeGugLq2",wer mitbestimmen einbürgern lassen einbürgerung letzte schritt gelungen integration stimm wahlrecht belohnen stimmrecht einfach verschenken ganz sichern,,,,,,,,,,,,,,,,"{'Wer': 0.06, 'mitbestimmen': 0, 'will': 0, 'soll': 0, 'sich': 0, 'einbürgern': 0, 'lassen': 0, 'Die': 0.02, 'Einbürgerung': 1.0, 'ist': 0.2, 'der': 0.02, 'letzte': 0.76, 'Schritt': 0.25, 'einer': 0, 'gelungenen': 0.17, 'Integration': 0.1, 'und': 0.03, 'wird': 0, 'mit': 0.07, 'dem': 0.02, 'Stimm-': 0, 'Wahlrecht': 0, 'belohnt': 0.28, 'Das': 0.02, 'Stimmrecht': 0.03, 'einfach': 0, 'verschenken': 0.025, 'Ganz': 0, 'sicher': 0, 'nicht': 0.24}",positive,"[0.015732002, 0.0026976378, 0.9815703]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Genau solche Aktionen zeigen, dass es am 4 März in Zürich einen Wechselbraucht! 
Nach Mauch-Aufruf: Deutlich mehr Einbürgerungsgesuche https://t.co/l2bR00Zouu via @tagesanzeiger",genau aktionen zeigen märz zürich wechselbraucht mauch aufruf deutlich mehr einbürgerungsgesuche via,,,,,,,,,,,,,,,,"{'Genau': 0, 'solche': 0.03, 'Aktionen': 0.04, 'zeigen': 0.05, 'dass': 0.03, 'es': 0.04, 'am': 0, '4': 0, 'März': 0.03, 'in': 0.03, 'Zürich': 0, 'einen': 0.03, 'Wechselbraucht': 0, 'Nach': 0, 'Mauch-Aufruf': 0.065, 'Deutlich': 0, 'mehr': 0.29, 'Einbürgerungsgesuche': 0.895, 'via': 0.33}",positive,"[0.4281524, 0.061442707, 0.51040494]",,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Na, erkennt ihr die nette Dame der IG? #Vegan #Kuhglocken #Einbürgerung https://t.co/8NTXtSvt1g",na erkennen nette dame ig vegan kuhglocken einbürgerung,,,,,,,,,,,,,,,,"{'Na': 0, 'erkennt': 0, 'ihr': 0, 'die': 0.07, 'nette': 0, 'Dame': 0, 'der': 0.07, 'IG': 0.06, 'Vegan': 0.13, 'Kuhglocken': 0.49, 'Einbürgerung': 1.0}",neutral,"[0.6356134, 0.005039726, 0.3593469]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @srfnews: #eVoting bleibt in der Schweiz vorerst Zukunftsmusik. Unter anderem wegen @SarahJamieLewis – sie hat unser E-Voting-System geh…,evoting bleiben schweiz vorerst zukunftsmusik wegen e voting system geh,,,,,,,,,,,,,,,,,,,"{'eVoting': 0.12, 'bleibt': 0.13, 'in': 0.06, 'der': 0.04, 'Schweiz': 0.08, 'vorerst': 0.04375, 'Zukunftsmusik': 0.05, 'Unter': 0, 'anderem': 0.09, 'wegen': 0.6, '–': 0, 'sie': 0, 'hat': 0, 'unser': 0, 'E-Voting-System': 0, 'geh': 0, '…': 0}",neutral,"[0.5862615, 0.33132356, 0.08241492]",,,,,,,neutral
50.0,75.0,57.0,0.0,negative,Wenn die E-Voting Unterstützer nicht mal den Unterschied zwischen E-Voting und E-Collect kennen... 🤦🏼‍♀️ #justsaying #facepalm #eVoting https://t.co/nC40WdvOJc,e voting unterstützer mal unterscheiden e voting e collect kennen justsaying facepalm evoting,,,,,,,,,,,,,,,,,,,"{'Wenn': 0, 'die': 0.04, 'E-Voting': 0, 'Unterstützer': 0, 'nicht': 0, 'mal': 0, 'den': 0.04, 'Unterschied': 0.11, 'zwischen': 0.08, 'und': 0.12, 'E-Collect': 0, 'kennen': 0.05, '...': 0, '🤦': 0, '\u200d️': 0, 'justsaying': 0, 'facepalm': 0, 'eVoting': 0}",neutral,"[0.75675374, 0.1862047, 0.057041537]",,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Sicherheit vor Tempo! Schützen wir unsere Demokratie vor Cyberangriffen: Ich unterstütze die Volksinitiative für ein E-Voting-Moratorium. Du auch? https://t.co/mHuzAHb4D4,sicherheit tempo schützen demokratie cyberangriffen unterstützen volksinitiative e voting moratorium,,,,,,,,,,,,,,,,,,,"{'Sicherheit': 0.08, 'vor': 0.06, 'Tempo': 0, 'Schützen': 0, 'wir': 0, 'unsere': 0.05, 'Demokratie': 0.03, 'Cyberangriffen': 0.03, 'Ich': 0.07, 'unterstütze': 0.14, 'die': 0.06, 'Volksinitiative': 0.055, 'für': 0.07, 'ein': 0, 'E-Voting-Moratorium': 0, 'Du': 0.02, 'auch': 0.55}",neutral,"[0.88905025, 0.023438424, 0.08751122]",,,,,,,positive
100.0,100.0,100.0,1.0,neutral,Geniales Interview mit @vecirex im @tagesanzeiger über die realen Gefahren von E-Voting in der Schweiz. Ich freue mich schon jetzt auf die Unterschriftensammlung der Initiative! #EVoting #NoEVoting https://t.co/jVmZIqcc4n,genial interview real gefahren e voting schweiz freuen schon unterschriftensammlung initiative evoting noevoting,,,,,,,,,,,,,,,,,,,"{'Geniales': 0, 'Interview': 0.05, 'mit': 0.02, 'im': 0.03, 'über': 0, 'die': 0.05, 'realen': 0.02, 'Gefahren': 0, 'von': 0, 'E-Voting': 0, 'in': 0.02, 'der': 0.05, 'Schweiz': 0.04, 'Ich': 0.02, 'freue': 0.03, 'mich': 0, 'schon': 0, 'jetzt': 0, 'auf': 0, 'Unterschriftensammlung': 0.10250000000000001, 'Initiative': 0.07, 'EVoting': 0.79, 'NoEVoting': 0.76}",positive,"[0.44780323, 0.098221004, 0.45397577]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Wir erinnern uns daran, als der Bund das letzte Mal ein IT-Projekt in die Hand nahm... Das Geld und Vertrauen war weg. 🤦🏼‍♀️ #eVoting #justsaying „Bundesrat will E-Voting einführen“
 https://t.co/5C5luZ0C2X",erinnern daran bund letzte mal it projekt hand nehmen geld vertrauen evoting justsaying bundesrat e voting einfahren,,,,,,,,,,,,,,,,,,,"{'Wir': 0.08, 'erinnern': 0.16, 'uns': 0, 'daran': 0.025, 'als': 0, 'der': 0.2, 'Bund': 0, 'das': 0, 'letzte': 0.11, 'Mal': 0, 'ein': 0, 'IT-Projekt': 0.035, 'in': 0, 'die': 0.2, 'Hand': 0, 'nahm': 0.05, '...': 0, 'Das': 0.2, 'Geld': 0.23, 'und': 0.28, 'Vertrauen': 0.39, 'war': 0, 'weg': 0, '🤦': 0, '\u200d️': 0, 'eVoting': 0, 'justsaying': 0, '„': 0, 'Bundesrat': 0, 'will': 0, 'E-Voting': 0, 'einführen': 0, '“': 0}",negative,"[0.45612055, 0.52694964, 0.016929913]",,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,"RT @christofthinks: Saudi-Arabien, welches einen Journalisten brutal ermorden lässt, sitzt im UNO Menschenrechtsrat und wacht in dieser Fun…",saudi arabien welch journalisten brutal ermorden lässt sitzen uno menschenrechtsrat wachen fun,,,,,,,,,,,,,,,,,,,,,,"{'Saudi-Arabien': 0.16, 'welches': 0.06, 'einen': 0.05, 'Journalisten': 0, 'brutal': 0, 'ermorden': 0, 'lässt': 0, 'sitzt': 0.11, 'im': 0, 'UNO': 0, 'Menschenrechtsrat': 0.165, 'und': 0.15, 'wacht': 0, 'in': 0.07, 'dieser': 1.0, 'Fun': 1.0, '…': 0}",neutral,"[0.62231535, 0.22976138, 0.14792334]",,,,neutral
0.0,0.0,0.0,-0.85,neutral,"Trauriger Angriff auf @DianaGutjahr1 und eine kurzsichtige Perspektive. Dank der Privatwirtschaft wurde 2020 die erste Wasserstoff-Tankstelle in Betrieb genommen. Tankstellen werden also auch in Zukunft benötigt, damit der Strassenverkehr durch Innovation CO2 neutral wird. https://t.co/HpfDtdRtV8",traurig angreifen kurzsichtig perspektive danken privatwirtschaft erste wasserstoff tankstelle betrieb nehmen tankstellen zukunft benötigen strassenverkehr innovation co2 neutral,,,,,,,,,,,,,,,,,,,,,,,,,"{'Trauriger': 0, 'Angriff': 0.03, 'auf': 0.02, 'und': 0.03, 'eine': 0, 'kurzsichtige': 0.05, 'Perspektive': 0.03, 'Dank': 0.035, 'der': 0.13, 'Privatwirtschaft': 0.02, 'wurde': 0, '2020': 0, 'die': 0.13, 'erste': 0.04, 'Wasserstoff-Tankstelle': 0.0325, 'in': 0.13, 'Betrieb': 0.05, 'genommen': 0, 'Tankstellen': 0.16, 'werden': 0.23, 'also': 0.29, 'auch': 0.29, 'Zukunft': 0.4, 'benötigt': 0.75, 'damit': 0.075, 'Strassenverkehr': 0.665, 'durch': 0.08, 'Innovation': 0.35, 'CO2': 0.12, 'neutral': 0.29, 'wird': 0.23}",neutral,"[0.64386517, 0.12048818, 0.2356466]",negative
50.0,75.0,57.0,0.0,negative,"RT @V_Landmann: Veranstaltung:
Kampf den Staus und Schikanen im Strassenverkehr
Vorwärts Züri! #Zürich #WahlCH19 https://t.co/xItBGAqN1v",veranstaltung kampf staus schikanen strassenverkehr vorwärts züri zürich wahlch19,,,,,,,,,,,,,,,,,,,,,,,,,"{'Veranstaltung': 0.54, 'Kampf': 0, 'den': 0, 'Staus': 0, 'und': 0.33, 'Schikanen': 0.82, 'im': 0, 'Strassenverkehr': 0.87, 'Vorwärts': 0.2, 'Züri': 0, 'Zürich': 0, 'WahlCH19': 0}",negative,"[0.12580323, 0.7486208, 0.12557593]",neutral
