answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @metamythos: Dringend: Lehrbetrieb gesucht!

Unser Sohn (17) sucht als FABE Kinderbetreuung fürs 3. Lehrjahr eine Kinderkrippe im Grossr…",dringen lehrbetrieb suchen sohn suchen fabe kinderbetreuung fürs lehrjahr kinderkrippe grossr,"{'Dringend': 0, 'Lehrbetrieb': 0.31, 'gesucht': 0, 'Unser': 0.47, 'Sohn': 0.44, '17': 0, 'sucht': 0, 'als': 0, 'FABE': 0.88, 'Kinderbetreuung': 0.82, 'fürs': 0.23, '3.': 0, 'Lehrjahr': 0.1, 'eine': 0, 'Kinderkrippe': 0.06, 'im': 0, 'Grossr': 0, '…': 0}",positive,"[0.31021392, 0.050386995, 0.6393991]",,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,RT @Openly_Biased: PS: gemäss @OECD gehört die Schweiz zu den Ländern mit den tiefsten Investitionen in Kinderbetreuung: lächerliche 1.4% d…,ps gemäss hören schweiz ländern tief investitionen kinderbetreuung lächerliche d,"{'PS': 0.07, 'gemäss': 0.06, 'gehört': 0, 'die': 0.1, 'Schweiz': 0.08, 'zu': 0.04, 'den': 0.1, 'Ländern': 0.09, 'mit': 0.05, 'tiefsten': 0, 'Investitionen': 0.28, 'in': 0.11, 'Kinderbetreuung': 0.68, 'lächerliche': 1.0, '1.4': 0, 'd': 0.58, '…': 0}",negative,"[0.0060258345, 0.9627558, 0.031218275]",,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"Ich bin gerade @baba__news member geworden. Ein grossartiges Projekt, das über Ausländer*innen, Migration, Integration, Flüchtlingsströme, Second@s, Muslim*innen berichtet. ❤️

https://t.co/EL70r1hAno",gerade member grossartiges projekt ausländer innen migration integration flüchtlingsströme second muslim innen berichten,,,,"{'Ich': 0.08, 'bin': 0, 'gerade': 0.08, 'member': 0.14, 'geworden': 0.11, 'Ein': 0.15, 'grossartiges': 0, 'Projekt': 0.68, 'das': 0.84, 'über': 0, 'Ausländer*innen': 0.64, 'Migration': 0.28, 'Integration': 0.22, 'Flüchtlingsströme': 0.22, 'Second': 0.13, 'Muslim*innen': 0, 'berichtet': 0, '️': 0}",positive,"[0.03925563, 0.0035753797, 0.957169]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @SamirFilmmaker: Endlich geht es los! Bitte unterschreibt das Manifest - Aktion Vierviertel - Für ein Grundrecht auf Einbürgerung https:…,endlich gehen los bitte unterschreiben manifest aktion vierviertel grundrecht einbürgerung https,,,,,,,"{'Endlich': 0.09, 'geht': 0, 'es': 0, 'los': 0.07, 'Bitte': 0, 'unterschreibt': 0, 'das': 0, 'Manifest': 0, 'Aktion': 0, 'Vierviertel': 0.19, 'Für': 0.57, 'ein': 0, 'Grundrecht': 1.0, 'auf': 0, 'Einbürgerung': 1.0, 'https': 0.25, '…': 0}",positive,"[0.008963917, 0.0015304196, 0.9895056]",,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Ich habe gerade das Manifest für ein Grundrecht auf Einbürgerung unterschrieben. Für Unterstützung bei der Einbürgerung statt Schikane. Für echte Demokratie statt Ausgrenzung. 

Jetzt unterschreiben!
https://t.co/Z45AQy5w79",gerade manifest grundrecht einbürgerung unterschreiben unterstützung einbürgerung statt schikane echte demokratie statt ausgrenzung unterschreiben,,,,,,,"{'Ich': 0.06, 'habe': 0.06, 'gerade': 0.06, 'das': 0, 'Manifest': 0, 'für': 0.04, 'ein': 0, 'Grundrecht': 0.8049999999999999, 'auf': 0, 'Einbürgerung': 0.18, 'unterschrieben': 0.19, 'Für': 0.04, 'Unterstützung': 0.2, 'bei': 0, 'der': 0.06, 'statt': 0.04, 'Schikane': 0, 'echte': 0.05, 'Demokratie': 0.18, 'Ausgrenzung': 0.07, 'Jetzt': 0.04, 'unterschreiben': 0.05}",positive,"[0.01441062, 0.0021846641, 0.9834047]",,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @karpi: Das F-35 Kampfflugzeug überfliegt die Schweiz in 5 Minuten. Das ist gleich sinnvoll wie mit dem Lamborghini eine Spritztour auf…,f kampfflugzeug überfliegen schweiz minuten gleichen sinnvoll lamborghini spritztour,,,,,,,,,,"{'Das': 0.04, 'F-35': 0, 'Kampfflugzeug': 0.28, 'überfliegt': 0, 'die': 0.04, 'Schweiz': 0.12, 'in': 0.21, '5': 0, 'Minuten': 0.13, 'ist': 0.09, 'gleich': 0, 'sinnvoll': 0, 'wie': 0, 'mit': 0, 'dem': 0.04, 'Lamborghini': 0.08, 'eine': 0, 'Spritztour': 0.08, 'auf': 0.03, '…': 0}",positive,"[0.009064031, 0.0018897208, 0.9890463]",,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @alinetrede: Für die #Medienvielfalt 
#RechtaufInformiertheit #Digitalisierung #NoFakeNews #Demokratie 
@IsaPasquierE @hansi_voigt @mari…",medienvielfalt rechtaufinformiertheit digitalisierung nofakenews demokratie,,,,,,,,,,,,,"{'Für': 0.15, 'die': 0, 'Medienvielfalt': 0.08, 'RechtaufInformiertheit': 0, 'Digitalisierung': 0, 'NoFakeNews': 0.36, 'Demokratie': 0.13, '…': 0}",neutral,"[0.5391852, 0.039763954, 0.42105082]",neutral
50.0,25.0,28.0,-0.15,neutral,Die Apotheken fürchten den Ansturm auf #Selbsttests kommenden Mittwoch. Das Problem von Massen- und Panikkäufen liesse sich mit digitalen Tools relativ einfach lösen – so wurde dasselbe Problem mit Masken in Taiwan gelöst. Die 🇨🇭 sollte das auch können. #Digitalisierung #eMask https://t.co/bZnpVezLWm,apotheken fürchten ansturm selbsttests kommend mittwoch problem massen panikkäufen liesse digital tools relativ einfach lösen problem masken taiwan lösen sollen digitalisierung emask,,,,,,,,,,,,,"{'Die': 0, 'Apotheken': 0.06, 'fürchten': 0.02, 'den': 0.05, 'Ansturm': 0.02, 'auf': 0, 'Selbsttests': 0, 'kommenden': 0, 'Mittwoch': 0.01, 'Das': 0.05, 'Problem': 0, 'von': 0, 'Massen-': 0, 'und': 0.02, 'Panikkäufen': 0, 'liesse': 0, 'sich': 0, 'mit': 0, 'digitalen': 0.06, 'Tools': 0.05, 'relativ': 0, 'einfach': 0, 'lösen': 0, '–': 0, 'so': 0, 'wurde': 0, 'dasselbe': 0, 'Masken': 0, 'in': 0, 'Taiwan': 0, 'gelöst': 0, '🇨': 0, '🇭': 0, 'sollte': 0, 'das': 0, 'auch': 0, 'können': 0, 'Digitalisierung': 0, 'eMask': 0}",neutral,"[0.5579696, 0.018538743, 0.42349163]",neutral
50.0,75.0,57.0,0.0,neutral,"@RenatKuenzi @C_Althaus @NZZ @audreyt Hängt in der CH sicherlich auch mit der fehlenden Digitalisierung zusammen. Hier wird gefaxt, während in TW zb sehr schnell Maskenbestände von Apotheken und Läden auf Maps für alle verfügbar gemacht wurden.",hängen ch sicherlich fehlend digitalisierung zusammen faxen tw zb schnellen maskenbestände apotheken läden maps all verfügbar,,,,,,,,,,,,,"{'Hängt': 0, 'in': 0.01, 'der': 0.37, 'CH': 0.03, 'sicherlich': 0, 'auch': 0, 'mit': 0, 'fehlenden': 0, 'Digitalisierung': 0, 'zusammen': 0, 'Hier': 0.03, 'wird': 0, 'gefaxt': 0, 'während': 0.02, 'TW': 0.02, 'zb': 0, 'sehr': 0.03, 'schnell': 0, 'Maskenbestände': 0.03, 'von': 0.02, 'Apotheken': 0.03, 'und': 0.01, 'Läden': 0, 'auf': 0.01, 'Maps': 0.02, 'für': 0.01, 'alle': 0.02, 'verfügbar': 0, 'gemacht': 0, 'wurden': 0}",negative,"[0.0039579384, 0.98415285, 0.011889209]",neutral
0.0,0.0,0.0,-0.85,neutral,"RT @DFoppa: Lehren aus Corona: «Erneut wird schmerzlich bewusst, wie sehr die Schweiz die Digitalisierung verschlafen hat: Die Kantone soll…",lehren corona erneut schmerzlich bewusst schweiz digitalisierung verschlafen kantone,,,,,,,,,,,,,"{'Lehren': 0, 'aus': 0, 'Corona': 0.03, '«': 0, 'Erneut': 0, 'wird': 0, 'schmerzlich': 0, 'bewusst': 0, 'wie': 0, 'sehr': 0, 'die': 0, 'Schweiz': 0, 'Digitalisierung': 0, 'verschlafen': 0, 'hat': 0, 'Die': 0, 'Kantone': 0, 'soll': 0, '…': 0}",neutral,"[0.59469676, 0.24089754, 0.16440573]",negative
50.0,75.0,57.0,0.0,neutral,"RT @mcschindler: Heute auf meinem Tagesprogramm:  #Digitalisierung und #Ethik mit @adfichter, @cdrdiethelm, @DimitriRougy und @Mpolzin unte…",heute tagesprogramm digitalisierung ethik unte,,,,,,,,,,,,,"{'Heute': 0.09, 'auf': 0.06, 'meinem': 0.08, 'Tagesprogramm': 0.27, 'Digitalisierung': 0, 'und': 0.12, 'Ethik': 0.2, 'mit': 0.15, 'unte': 0, '…': 0}",neutral,"[0.5225038, 0.008270648, 0.4692256]",neutral
100.0,100.0,100.0,0.85,neutral,"RT @SimonGriesser: Darauf freue ich mich:
""Digitalisierung &amp; Ethik""
Ein spannendes und wichtiges Thema an unserem nächsten #DeptTalks am 20…",darauf freuen digitalisierung amp ethik spannend wichtig thema nächst depttalks,,,,,,,,,,,,,"{'Darauf': 0, 'freue': 0.03, 'ich': 0.04, 'mich': 0, 'Digitalisierung': 0, 'amp': 0, 'Ethik': 1.0, 'Ein': 0, 'spannendes': 0.2, 'und': 0.07, 'wichtiges': 0.14, 'Thema': 0, 'an': 0.19, 'unserem': 0.07, 'nächsten': 0.03, 'DeptTalks': 0.23, 'am': 0.03, '20': 0, '…': 0}",positive,"[0.0017515698, 0.0013630867, 0.99688536]",positive
