answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3421,absa_sentiment_3421,absa_scores_3421,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @natalieimboden: #Prämienschock 2016 bei Krankenkassenprämien in Sicht! #Prämienverbilligungen http://t.co/BRrWRnQQcM @gruenebern http:/…,prämienschock krankenkassenprämien sicht prämienverbilligungen http,"{'Prämienschock': 0.295, '2016': 0, 'bei': 0, 'Krankenkassenprämien': 0.09, 'in': 0.07, 'Sicht': 0, 'Prämienverbilligungen': 0.67, 'http': 1.0, ':/': 0, '…': 0}",positive,"[0.026214933, 0.0043918565, 0.9693932]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,RT @gruenebern: Delegation @GrueneCH @gruenebern ist startklar für Demo #Lohngleichheit. Wir sind viele - wir sind wütend! #enough18 https:…,delegation startklar demo lohngleichheit wüten enough18 https,,,,"{'Delegation': 0.15, 'ist': 0.1, 'startklar': 0.15, 'für': 0.25, 'Demo': 1.0, 'Lohngleichheit': 0.675, 'Wir': 0.06, 'sind': 0.06, 'viele': 0, 'wir': 0, 'wütend': 0, 'enough18': 0.24, 'https': 0.24, '…': 0}",positive,"[0.19192968, 0.01199991, 0.7960704]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Auch die @GrueneKoeniz sammeln gegen Steuersenkungen für Grosskonzerne und Sozialabbau @GrueneKoeniz https://t.co/u2KJFLnnbk,sammeln steuersenkungen grosskonzerne sozialabbau,,,,,,,"{'Auch': 0.26, 'die': 0, 'sammeln': 1.0, 'gegen': 1.0, 'Steuersenkungen': 0.22499999999999998, 'für': 0.24, 'Grosskonzerne': 0, 'und': 0.08, 'Sozialabbau': 0.1}",neutral,"[0.87604207, 0.036927603, 0.08703038]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @gruenebern: SP und Grüne ergreifen Referendum gegen Steuersenkungen https://t.co/HgFuEACxPm,sp grüne ergreifen referendum steuersenkungen,,,,,,,"{'SP': 0.04, 'und': 0.1, 'Grüne': 0, 'ergreifen': 0, 'Referendum': 1.0, 'gegen': 1.0, 'Steuersenkungen': 0.33499999999999996}",neutral,"[0.88083535, 0.008785986, 0.11037866]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @gruenebern: Der Countdown läuft! Jetzt auf erneuerbare Energien umschalten! https://t.co/jBXiJ5cWjK,countdown laufen erneuerbare energien umschalten,,,,,,,,,,"{'Der': 0.22, 'Countdown': 0.32, 'läuft': 0.38, 'Jetzt': 0.78, 'auf': 0, 'erneuerbare': 0.73, 'Energien': 0.46, 'umschalten': 1.0}",positive,"[0.022494342, 0.0026407754, 0.9748649]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @swissolar_d: Das  Berner #Energiegesetz fördert erneuerbare Energien und reduziert unsere  Abhängigkeit vom Ausland. Bernerinnen und Be…,berner energiegesetz fördern erneuerbare energien reduzieren abhängigkeit ausland bernerinnen be,,,,,,,,,,"{'Das': 0.13, 'Berner': 0, 'Energiegesetz': 0.375, 'fördert': 1.0, 'erneuerbare': 1.0, 'Energien': 0.24, 'und': 0.21, 'reduziert': 0, 'unsere': 0.1, 'Abhängigkeit': 0, 'vom': 0.13, 'Ausland': 0, 'Bernerinnen': 0.08, 'Be': 0, '…': 0}",positive,"[0.0015619018, 0.0014955669, 0.99694246]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @AEE_SUISSE: Schweizer Wirtschaft profitiert von erneuerbaren Energien und von energieeffizientem Bauen. Bundesamt für Statistik bestäti…,schweizer wirtschaft profitieren erneuerbaren energien energieeffizientem bauen bundesamt statistik bestäti,,,,,,,,,,"{'Schweizer': 0.09, 'Wirtschaft': 0, 'profitiert': 0.16, 'von': 0.18, 'erneuerbaren': 1.0, 'Energien': 1.0, 'und': 0.34, 'energieeffizientem': 0.17, 'Bauen': 0, 'Bundesamt': 0.07, 'für': 0, 'Statistik': 0, 'bestäti': 0, '…': 0}",positive,"[0.0010281686, 0.0011333295, 0.99783856]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @gruenebern: Good Green News zum Jahresende! 🌎 🌍 🌱: Forschung 🧪 @unibern im Bereich Klimaschutz, nachhaltige Entwicklung, Umweltschutz,…",good green news jahresende forschung bereich klimaschutz nachhaltig entwicklung umweltschutz,,,,,,,,,,,,,"{'Good': 0.05, 'Green': 0.05, 'News': 0.07, 'zum': 0.15, 'Jahresende': 0.105, 'Forschung': 0.47, '🧪': 0, 'im': 0, 'Bereich': 0, 'Klimaschutz': 0, 'nachhaltige': 0, 'Entwicklung': 0, 'Umweltschutz': 0, '…': 0}",positive,"[0.0018883677, 0.0010776189, 0.99703395]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @verkehrsclub: Dr. med. Peter Kälin, Präsident Ärztinnen und Ärzte für Umweltschutz.
 💥Jetzt Petition unterschreiben: https://t.co/6W3lp…",dr med peter kälin präsident ärztinnen ärzte umweltschutz petition unterschreiben,,,,,,,,,,,,,"{'Dr.': 0, 'med': 0, 'Peter': 0.11, 'Kälin': 0, 'Präsident': 0.13, 'Ärztinnen': 0.06, 'und': 0, 'Ärzte': 0.06, 'für': 0.13, 'Umweltschutz': 0.08499999999999999, 'Jetzt': 0.9, 'Petition': 1.0, 'unterschreiben': 0.8}",positive,"[0.09211771, 0.0069994084, 0.9008829]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"(Fast) null Umweltschutz, null Sozialstaat, null Öffnung - #SVP nominiert unwählbare für Kollegialbehörden @Vimentis https://t.co/friIV5kADm",fast nullen umweltschutz nullen sozialstaat nullen öffnung svp nominieren unwählbare kollegialbehörden,,,,,,,,,,,,,"{'Fast': 0, 'null': 0, 'Umweltschutz': 0.5599999999999999, 'Sozialstaat': 0.05, 'Öffnung': 0, 'SVP': 0, 'nominiert': 0, 'unwählbare': 0.11, 'für': 0.06, 'Kollegialbehörden': 0.06}",negative,"[0.0013698861, 0.98874646, 0.0098836925]",,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @gruenebern: Landschaft schützen, Öffentlichen Verkehr stärken. DV Grüne Kanton Bern unterstützen einstimmig das #Tram Bern-Ostermundige…",landschaft schützen öffentlich verkehr stärken dv grüne kanton bern unterstützen einstimmig tram bern ostermundige,,,,,,,,,,,,,,,,"{'Landschaft': 0.2, 'schützen': 0, 'Öffentlichen': 0.21, 'Verkehr': 0, 'stärken': 0, 'DV': 0.48, 'Grüne': 0.23, 'Kanton': 0.24, 'Bern': 0.2, 'unterstützen': 1.0, 'einstimmig': 0.96, 'das': 0, 'Tram': 0.57, 'Bern-Ostermundige': 0, '…': 0}",positive,"[0.2964377, 0.27119723, 0.4323651]",,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @Kilian_Baumann: Sich an die Folgen des Klimawandels anzupassen ist wichtig, gerade für die Landwirtschaft. Doch die Ursachen bekämpfen…",folgen klimawandels anpassen wichtig gerade landwirtschaft ursachen bekämpfen,,,,,,,,,,,,,,,,,,,"{'Sich': 0, 'an': 0, 'die': 0.02, 'Folgen': 0, 'des': 0, 'Klimawandels': 0.065, 'anzupassen': 0, 'ist': 0.11, 'wichtig': 0.16, 'gerade': 0, 'für': 0.07, 'Landwirtschaft': 0.19, 'Doch': 0.1, 'Ursachen': 0.04, 'bekämpfen': 0.12, '…': 0}",positive,"[0.030090667, 0.0039880252, 0.9659213]",positive
