answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @wecollectCH: @eVoteMoratorium Sammelstart E-Voting Moratorium in Luzern. #eVoting. ▶️ PDF https://t.co/alAJ3BxlxN ▶️ Online unterschrei…,sammelstart e voting moratorium luzern evoting pdf online unterschrei,,,,,,,,,,,,,"{'Sammelstart': 0.105, 'E-Voting': 0, 'Moratorium': 0.2, 'in': 0.06, 'Luzern': 0, 'eVoting': 0.27, '▶': 0, '️': 0, 'PDF': 0, 'Online': 0, 'unterschrei': 0, '…': 0}",neutral,"[0.9508009, 0.026500676, 0.0226985]",,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"@urshafner1 @eVoteMoratorium @HansruediWidmer Aber das E-Banking haben Sie dann schon im Griff, oder?
Beim E-Voting mit Stimmgeheimnis wäre die Technik noch um Einiges komplizierter ... Lesen Sie mal die Argumente oder fragen Sie Experten. https://t.co/PZ2dncImrj https://t.co/gFXDhL7fNz",e banking schon griff beim e voting stimmgeheimnis technik kompliziert lesen mal argumente fragen experten,,,,,,,,,,,,,"{'Aber': 0.15, 'das': 0, 'E-Banking': 0, 'haben': 0.05, 'Sie': 0, 'dann': 0, 'schon': 0, 'im': 0, 'Griff': 0, 'oder': 0.11, 'Beim': 0.04, 'E-Voting': 0, 'mit': 0.34, 'Stimmgeheimnis': 0.32, 'wäre': 1.0, 'die': 0.04, 'Technik': 0.31, 'noch': 0, 'um': 0.06, 'Einiges': 0.06, 'komplizierter': 0.215, '...': 0, 'Lesen': 0.12, 'mal': 0, 'Argumente': 0.06, 'fragen': 0, 'Experten': 0.08}",negative,"[0.17206085, 0.8048791, 0.023060013]",,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @dbrgn: https://t.co/C9Nddr5ATa zur 🇨🇭-E-Voting-Backdoor: https://t.co/sLddr3l5uA

""Den konkreten Fehler wird der Hersteller des Systems…",e voting backdoor konkret fehler hersteller systems,,,,,,,,,,,,,"{'zur': 0.225, '🇨': 0, '🇭': 0, '-E-Voting-Backdoor': 0, 'Den': 0, 'konkreten': 0, 'Fehler': 0, 'wird': 0, 'der': 0, 'Hersteller': 0, 'des': 0, 'Systems': 0, '…': 0}",negative,"[0.1888283, 0.7976281, 0.013543555]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @martinsteiger: @zurichlive @bglaettli Damit kann man E-Voting in einer Demokratie, die diesen Namen verdienen und vertrauenswürdig sein…",e voting demokratie namen verdienen vertrauenswürdig,,,,,,,,,,,,,"{'Damit': 0.07, 'kann': 0.07, 'man': 0, 'E-Voting': 0, 'in': 0.07, 'einer': 0, 'Demokratie': 0.16, 'die': 0.05, 'diesen': 0, 'Namen': 0, 'verdienen': 0, 'und': 0.09, 'vertrauenswürdig': 0.15, 'sein': 0, '…': 0}",negative,"[0.3580742, 0.41080856, 0.23111726]",,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"@postschweiz @narimoldi @SarahJamieLewis Solange die @postschweiz nicht komplett alle alten und aktuellen E-Voting-Systeme offenlegt, und nicht nur ein Teil des Codes prüfen lässt, ist so ziemlich jede Behauptung diesbezüglich unglaubwürdig. 
Am Samstag beginnt übrigens die Unterschriftensammlung fürs @eVoteMoratorium",solange komplett all alt aktuell e voting systeme offenlegen teil codes prüfen lässt ziemlich jed behauptung diesbezüglich unglaubwürdig samstag beginnen übrigens unterschriftensammlung fürs,,,,,,,,,,,,,"{'Solange': 0, 'die': 0.12, 'nicht': 0.03, 'komplett': 0.04, 'alle': 0, 'alten': 0.06, 'und': 0.04, 'aktuellen': 0.08, 'E-Voting-Systeme': 0.08, 'offenlegt': 0, 'nur': 0.04, 'ein': 0, 'Teil': 0.04, 'des': 0, 'Codes': 0, 'prüfen': 0, 'lässt': 0, 'ist': 0.05, 'so': 0, 'ziemlich': 0.045, 'jede': 0.05, 'Behauptung': 0.21, 'diesbezüglich': 0.0675, 'unglaubwürdig': 0.16, 'Am': 0, 'Samstag': 1.0, 'beginnt': 0, 'übrigens': 0.12, 'Unterschriftensammlung': 0.20750000000000002, 'fürs': 0.11}",negative,"[0.22148468, 0.7649074, 0.013607973]",,,,,,,,,,,,,,,,negative
75.0,75.0,71.0,0.35,neutral,"@wagner_che @CH_eGov @eVoteMoratorium @fgrueter Gefunden ... hat aber Interpretationsspielraum bei solchen Fragestellungen https://t.co/RKaZsOuLPU 
Aber schon mal einen Bürger gefragt, was genau an E-Voting einfacher sei und ob sowas (siehe Bild) tatsächlich zu mehr Stimmbeteiligung führt verglichen mit Papier? https://t.co/Ny49mubuNY",finden interpretationsspielraum solch fragestellungen schon mal bürger fragen genau e voting einfach sowas siehe bild tatsächlich mehr stimmbeteiligung führen vergleichen papier,,,,,,,,,,,,,"{'Gefunden': 0.21, '...': 0, 'hat': 0, 'aber': 0.33, 'Interpretationsspielraum': 0.08, 'bei': 0, 'solchen': 0.12, 'Fragestellungen': 0.31, 'Aber': 0.33, 'schon': 0, 'mal': 0, 'einen': 0.12, 'Bürger': 0, 'gefragt': 0.33, 'was': 0, 'genau': 0, 'an': 0, 'E-Voting': 0, 'einfacher': 0.22, 'sei': 0, 'und': 0.27, 'ob': 0, 'sowas': 0, 'siehe': 0, 'Bild': 0, 'tatsächlich': 0, 'zu': 0.36, 'mehr': 0.18, 'Stimmbeteiligung': 0.22499999999999998, 'führt': 0.24, 'verglichen': 0.41, 'mit': 0, 'Papier': 0.36}",neutral,"[0.86045116, 0.13273658, 0.0068122]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: Cybervoting - Abendprogramm: #Winterkongress-Vortrag @digiges_ch mit René Droz &amp; @JorgoA vom @eVoteMoratorium:

""E-Voting, von…",cybervoting abendprogramm winterkongress vortrag rené droz amp e voting,,,,,,,,,,,,,"{'Cybervoting': 0.13, 'Abendprogramm': 0.06, 'Winterkongress-Vortrag': 0.05500000000000001, 'mit': 0.06, 'René': 0, 'Droz': 0.11, 'amp': 0.06, 'vom': 0.595, 'E-Voting': 0, 'von': 1.0, '…': 0}",neutral,"[0.5321292, 0.049119122, 0.41875157]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: Cybervoting - Roger Braun/@tagblatt_ch:
""Während die [@postschweiz] ihr neues E-Voting-System testet, greift in den Kantonen di…",cybervoting roger braun neu e voting system testen greifen kantonen di,,,,,,,,,,,,,"{'Cybervoting': 0.16, 'Roger': 0.05, 'Braun': 0.04, 'Während': 0.25, 'die': 0.41, 'ihr': 0, 'neues': 0.17, 'E-Voting-System': 0, 'testet': 0, 'greift': 0, 'in': 0, 'den': 0.41, 'Kantonen': 1.0, 'di': 0, '…': 0}",neutral,"[0.5794164, 0.39113525, 0.029448323]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,positive,"@Domainnamenblog @vecirex @ChrFolini @muheim Ok, das letzte E-Voting-Wassenaar-Dokument der Berner Staatskanzlei datiert vom 26.2.2013. 
Aber es ist näher beim Ende des Schweizer #EVoting als beim Anfang. Danke für den Spass 🤪",ok letzte e voting wassenaar dokument berner staatskanzlei datieren nähern beim ende schweizer evoting beim anfang danke spass,,,,,,,,,,,,,"{'Ok': 0.15, 'das': 0, 'letzte': 0.06, 'E-Voting-Wassenaar-Dokument': 0, 'der': 0.26, 'Berner': 0, 'Staatskanzlei': 0.15, 'datiert': 0.23, 'vom': 0.155, '26.2.2013.': 0, 'Aber': 0.15, 'es': 0.07, 'ist': 0.07, 'näher': 0.07, 'beim': 0.26, 'Ende': 0.04, 'des': 0.05, 'Schweizer': 0.14, 'EVoting': 0.19, 'als': 0, 'Anfang': 0.13, 'Danke': 0, 'für': 0.2, 'den': 0.26, 'Spass': 0.8, '🤪': 0}",positive,"[0.2874763, 0.15540488, 0.5571189]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @paula_deme: So schliesst sich der Kreis. Der letzte Vortrag für heute. 

E-Voting, von der undurchdachten Idee zur Volksinitiative ""E-V…",schliesst kreis letzte vortrag heute e voting undurchdachten idee volksinitiative e v,,,,,,,,,,,,,"{'So': 0, 'schliesst': 0, 'sich': 0, 'der': 0.1, 'Kreis': 0.06, 'Der': 0.1, 'letzte': 0.04, 'Vortrag': 0, 'für': 0.05, 'heute': 0.05, 'E-Voting': 0, 'von': 0.25, 'undurchdachten': 0, 'Idee': 0, 'zur': 0.185, 'Volksinitiative': 0.21000000000000002, 'E-V': 0, '…': 0}",positive,"[0.17692822, 0.1515193, 0.6715525]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: Cybervoting - ""2019 [könnte] das Jahr werden [...], in dem E-Voting beerdigt wird."" https://t.co/yPYHBrJHQk

#Cybervoting #EVot…",cybervoting jahr e voting beerdigen cybervoting evot,,,,,,,,,,,,,"{'Cybervoting': 0.45, 'könnte': 0.02, 'das': 0, 'Jahr': 0.03, 'werden': 0.04, '...': 0, 'in': 0.03, 'dem': 0.02, 'E-Voting': 0, 'beerdigt': 0.07, 'wird': 0.04, 'EVot': 0.41, '…': 0}",neutral,"[0.6670613, 0.14569792, 0.18724078]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @CCC_CH: E-Justiz - @bazonline: ""Die Sicherheit ist in diesem Fall kein Killerargument. Im Gegensatz zum E-Voting, das aktuell unter Bes…",e justiz sicherheit fall killerargument gegensatz e voting aktuell bes,,,,,,,,,,,,,"{'E-Justiz': 0, 'Die': 0, 'Sicherheit': 0, 'ist': 0.15, 'in': 0.19, 'diesem': 0.04, 'Fall': 0, 'kein': 0, 'Killerargument': 0, 'Im': 0, 'Gegensatz': 0.41, 'zum': 0.26, 'E-Voting': 0, 'das': 0, 'aktuell': 0, 'unter': 1.0, 'Bes': 0, '…': 0}",neutral,"[0.44148588, 0.3018623, 0.2566518]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: E-Voting - @adfichter/@RepublikMagazin &amp; Co. mit Artikel zum Quellcode @postschweiz/@scytl:
https://t.co/hwkOZMkwOg

Über 250k…",e voting amp co artikel quellcode 250k,,,,,,,,,,,,,"{'E-Voting': 0, 'amp': 0.14, 'Co.': 0, 'mit': 0.05, 'Artikel': 0.16, 'zum': 0.07, 'Quellcode': 0.14, 'Über': 0.33, '250k': 1.0, '…': 0}",neutral,"[0.7586049, 0.10896836, 0.13242671]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: E-Voting - in @swissinfo_de:
""[Es ist [...] unwahrscheinlich, dass [...] kriminelle &amp; strategische Organisationen [...]] den Sc…",e voting unwahrscheinlich kriminelle amp strategische organisationen sc,,,,,,,,,,,,,"{'E-Voting': 0, 'in': 0.06, 'Es': 0.05, 'ist': 0.05, '...': 0, 'unwahrscheinlich': 0.24, 'dass': 0.1, 'kriminelle': 0, 'amp': 0.13, 'strategische': 0.17, 'Organisationen': 0.2, 'den': 0.72, 'Sc': 0, '…': 0}",negative,"[0.3108075, 0.508076, 0.18111645]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: E-Voting - @vecirex in der @Wochenzeitung: der ""Intrusionstest"" der @postschweiz ist eine Marketing-Massnahme, um auf Kurs zu b…",e voting intrusionstest marketing massnahme kurs b,,,,,,,,,,,,,"{'E-Voting': 0, 'in': 0.07, 'der': 0.07, 'Intrusionstest': 0, 'ist': 0.14, 'eine': 0, 'Marketing-Massnahme': 0.11, 'um': 0.11, 'auf': 0.06, 'Kurs': 0, 'zu': 0.14, 'b': 0, '…': 0}",negative,"[0.413733, 0.4294027, 0.15686427]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @WHotzendorfer: Argument 4: Welches große Problem haben wir denn aktuell bei Wahlen, das sich mit E-Voting lösen lässt und dessen Lösung…",argument welch groß problem aktuell wahlen e voting lösen lässt lösung,,,,,,,,,,,,,"{'Argument': 0.14, 'Welches': 0, 'große': 0, 'Problem': 0.16, 'haben': 0.05, 'wir': 0, 'denn': 0, 'aktuell': 0, 'bei': 0, 'Wahlen': 0, 'das': 0.11, 'sich': 0, 'mit': 0.57, 'E-Voting': 0, 'lösen': 0, 'lässt': 0, 'und': 1.0, 'dessen': 0, 'Lösung': 1.0, '…': 0}",neutral,"[0.5458056, 0.25145268, 0.20274171]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @coredump_ch: Statement des Chaostreff Coredump in der Linth-Zeitung zum Thema E-Voting: «Wenn es um kritische Systeme gehe, solle man i…",statement chaostreff coredump linth zeitung thema e voting kritisch systeme gehen sollen i,,,,,,,,,,,,,"{'Statement': 0.16, 'des': 0, 'Chaostreff': 0.11, 'Coredump': 0.08, 'in': 0.02, 'der': 0.06, 'Linth-Zeitung': 0.055, 'zum': 0.055, 'Thema': 0, 'E-Voting': 0, '«': 0, 'Wenn': 0, 'es': 0, 'um': 0, 'kritische': 0, 'Systeme': 0, 'gehe': 0, 'solle': 0, 'man': 0, 'i': 0, '…': 0}",neutral,"[0.8851964, 0.047821146, 0.066982545]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @CCC_CH: E-Voting/St. Gallen - ein breites Aktionskomitee von Jungparteien von links bis rechts fordert das @eVoteMoratorium für den @ka…,e voting st gallen breit aktionskomitee jungparteien links rechts fordern,,,,,,,,,,,,,"{'E-Voting': 0, 'St.': 0, 'Gallen': 0.06, 'ein': 0, 'breites': 0.08, 'Aktionskomitee': 0.25, 'von': 0.14, 'Jungparteien': 0.185, 'links': 0, 'bis': 0, 'rechts': 0.16, 'fordert': 0, 'das': 0, 'für': 1.0, 'den': 0, '…': 0}",neutral,"[0.8168679, 0.08983917, 0.093292974]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @chaosupdates: Widerstand gegen #eVoting in der Schweiz und das E-Voting-System des spanischen Anbieters #Scytl – Der Test ist vor allem…,widerstehen evoting schweiz e voting system spanisch anbieters scytl test,,,,,,,,,,,,,"{'Widerstand': 0.25, 'gegen': 0, 'eVoting': 0.45, 'in': 0.07, 'der': 0.67, 'Schweiz': 0.12, 'und': 0.08, 'das': 0, 'E-Voting-System': 0, 'des': 0, 'spanischen': 0.23, 'Anbieters': 0.55, 'Scytl': 0.3, '–': 0, 'Der': 0, 'Test': 0, 'ist': 0, 'vor': 0, 'allem': 0, '…': 0}",positive,"[0.0094261, 0.0040172883, 0.9865566]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @dani_graf: 👉 Heute wird die Volksinitiative für ein 5-jähriges E-Voting-Moratorium vorgestellt. Dahinter stehen Sicherheits- und IT-Fac…,heute volksinitiative jährig e voting moratorium vorstellen dahinter stehen sicherheits it fac,,,,,,,,,,,,,"{'Heute': 0.14, 'wird': 0, 'die': 0.17, 'Volksinitiative': 0.15000000000000002, 'für': 0.08, 'ein': 0, '5-jähriges': 0.045, 'E-Voting-Moratorium': 0, 'vorgestellt': 0.08, 'Dahinter': 0.43, 'stehen': 0, 'Sicherheits-': 0.33, 'und': 0.39, 'IT-Fac': 0, '…': 0}",neutral,"[0.71685934, 0.064309984, 0.2188307]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @CCC_CH: E-Voting - @heiseonline zur lauter werdenden Kritik am Schweizer #EVoting  und mit Hinweis aufs @eVoteMoratorium:
https://t.co/…",e voting laut werdenden kritik schweizer evoting hinweis aufs,,,,,,,,,,,,,"{'E-Voting': 0, 'zur': 0.17, 'lauter': 0, 'werdenden': 0, 'Kritik': 1.0, 'am': 0, 'Schweizer': 0.23, 'EVoting': 0.39, 'und': 0.22, 'mit': 0.15, 'Hinweis': 0, 'aufs': 0}",positive,"[0.08662256, 0.037742216, 0.8756352]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @CCC_CH: E-Voting - der ""Intrusionstest"" von Bundeskanzlei &amp; @postschweiz testet Tester unter Kunstbedingungen. Er beweist keine Sicherh…",e voting intrusionstest bundeskanzlei amp testen tester kunstbedingungen beweisen sicherh,,,,,,,,,,,,,"{'E-Voting': 0, 'der': 0.08, 'Intrusionstest': 0, 'von': 0, 'Bundeskanzlei': 0.08499999999999999, 'amp': 0.06, 'testet': 0, 'Tester': 0, 'unter': 0.1, 'Kunstbedingungen': 0.11499999999999999, 'Er': 0, 'beweist': 1.0, 'keine': 0, 'Sicherh': 0, '…': 0}",negative,"[0.12840971, 0.85132974, 0.02026058]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @CCC_CH: E-Voting - @adfichter/@RepublikMagazin zu Beschwichtigungen der @postschweiz:
https://t.co/qjhT3ockiT 

Auch das #EVoting-Syste…",e voting beschwichtigungen evoting syste,,,,,,,,,,,,,"{'E-Voting': 0, 'zu': 0.08, 'Beschwichtigungen': 0, 'der': 0.46, 'Auch': 0.24, 'das': 0, 'EVoting-Syste': 0, '…': 0}",positive,"[0.382394, 0.034677893, 0.58292806]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: E-Voting -  @silvan_meile im @tagblatt_ch :
""Mitglieder der Hackervereinigung Chaos Computer Club wollen am Sonntag im Thurgau…",e voting mitglieder hackervereinigung chaos computer club sonntag thurgau,,,,,,,,,,,,,"{'E-Voting': 0, 'im': 0, 'Mitglieder': 0.37, 'der': 0.08, 'Hackervereinigung': 0.11, 'Chaos': 0.19, 'Computer': 0.08, 'Club': 0.09, 'wollen': 0.59, 'am': 0, 'Sonntag': 0.12, 'Thurgau': 0.1, '…': 0}",neutral,"[0.88280463, 0.09025399, 0.02694137]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @CCC_CH: E-Voting - @jan_jirat in der @Wochenzeitung mit Kommentar ""Pioniergeist über alles"":
https://t.co/s67jTGSnrN
Kritisert wird die…",e voting kommentar pioniergeist kritisert,,,,,,,,,,,,,"{'E-Voting': 0, 'in': 0.06, 'der': 0.85, 'mit': 0.09, 'Kommentar': 0.3, 'Pioniergeist': 0.10500000000000001, 'über': 0, 'alles': 0.06, 'Kritisert': 0, 'wird': 0, 'die': 0.85, '…': 0}",positive,"[0.04920907, 0.030852666, 0.91993827]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @CCC_CH: E-Voting - Kantone, die das @postschweiz/@scytl-#EVoting einsetzen, scheinen gemein zu haben, unabhängige #Wahlbeobachtungen ru…",e voting kantone evoting einsetzen scheinen gemein unabhängig wahlbeobachtungen ru,,,,,,,,,,,,,"{'E-Voting': 0, 'Kantone': 0.22, 'die': 0.08, 'das': 0.08, '/-#EVoting': 0, 'einsetzen': 0, 'scheinen': 0.12, 'gemein': 0.33, 'zu': 0.06, 'haben': 0.135, 'unabhängige': 1.0, 'Wahlbeobachtungen': 1.0, 'ru': 0.3, '…': 0}",positive,"[0.23457557, 0.027663825, 0.7377606]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @sacovo: @vecirex @kantonsg Die Post erläutert aber das Problem am E-Voting. Jetzt müssten sie nur noch verstehen, was sie da schreiben.…",post erläutern problem e voting müssten verstehen schreiben,,,,,,,,,,,,,"{'Die': 0.1, 'Post': 0.33, 'erläutert': 0, 'aber': 0, 'das': 0, 'Problem': 0.14, 'am': 0, 'E-Voting': 0, 'Jetzt': 0.2, 'müssten': 0.08, 'sie': 0, 'nur': 0, 'noch': 0, 'verstehen': 0.41000000000000003, 'was': 0, 'da': 0, 'schreiben': 0.06, '…': 0}",negative,"[0.37087312, 0.60182065, 0.027306233]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @vecirex: 🔥 Der E-Voting-Skandal reisst nicht ab
- der @Kanton_Thurgau bestätigt die völlige Intransparenz von #EVoting auf Anfrage: wie…",e voting skandal reisst ab bestätigen völlig intransparenz evoting anfrage,,,,,,,,,,,,,"{'Der': 0.13, 'E-Voting-Skandal': 0, 'reisst': 0, 'nicht': 0.06, 'ab': 0, 'der': 0.13, 'bestätigt': 0, 'die': 0.13, 'völlige': 0, 'Intransparenz': 0.14, 'von': 0, 'EVoting': 0.14, 'auf': 0.1, 'Anfrage': 0, 'wie': 0.8, '…': 0}",negative,"[0.2739341, 0.66033095, 0.065735005]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @CCC_CH: E-Voting - der @Staat_Freiburg weiss über sein ""eigenes"" #EVoting-System nicht Bescheid und verweist auf die @postschweiz, um g…",e voting weiss eigen evoting system bescheid verweisen g,,,,,,,,,,,,,"{'E-Voting': 0, 'der': 0.46, 'weiss': 0, 'über': 0, 'sein': 0, 'eigenes': 0.17, 'EVoting-System': 0, 'nicht': 0.39, 'Bescheid': 0, 'und': 0.9, 'verweist': 1.0, 'auf': 0, 'die': 0.46, 'um': 0, 'g': 0.41, '…': 0}",neutral,"[0.78547806, 0.059635993, 0.15488593]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: E-Voting - VR-Präsident Urs Schwaller @postschweiz:

""Wir haben E-Voting in 13 oder 14 Kantonen und 200 Abstimmungen bei einem…",e voting vr präsident urs schwaller e voting kantonen abstimmungen,,,,,,,,,,,,,"{'E-Voting': 0, 'VR-Präsident': 0.06, 'Urs': 0.36, 'Schwaller': 0.24, 'Wir': 0.29, 'haben': 0.27, 'in': 0.02, 'oder': 0.1, 'Kantonen': 0.08, 'und': 0.09, 'Abstimmungen': 0.14, 'bei': 0, 'einem': 0.03, '…': 0}",neutral,"[0.8933399, 0.03977653, 0.066883616]",,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,negative,"RT @eVoteMoratorium: Medienmitteilung:
""Bröckelndes E-Voting-System der Post: Sofort die Notbremse ziehen""
auf Grund der @RepublikMagazin-E…",medienmitteilung bröckelnd e voting system post sofort notbremse ziehen grund e,,,,,,,,,,,,,"{'Medienmitteilung': 0.085, 'Bröckelndes': 0.07, 'E-Voting-System': 0, 'der': 0.19, 'Post': 0.08, 'Sofort': 0.1, 'die': 0.19, 'Notbremse': 0.08, 'ziehen': 0, 'auf': 0, 'Grund': 0, '-E': 0, '…': 0}",positive,"[0.3595995, 0.14622769, 0.49417287]",,,,,,,,,,,,,,,,negative
0.0,0.0,14.0,-0.7,negative,RT @CCC_CH: E-Voting - die laufenden Abstimmungen #Abst19 bleiben auf dem E-Voting-Kanal für DNS-Spoofing anfällig: man nimmt Warnungen wed…,e voting laufend abstimmungen abst19 bleiben e voting kanal dns spoofing anfällig nehmen warnungen wed,,,,,,,,,,,,,"{'E-Voting': 0, 'die': 0.1, 'laufenden': 0.07, 'Abstimmungen': 0.06, 'Abst19': 0.16, 'bleiben': 0, 'auf': 0.05, 'dem': 0.095, 'E-Voting-Kanal': 0.15, 'für': 0, 'DNS-Spoofing': 0, 'anfällig': 0, 'man': 0, 'nimmt': 0, 'Warnungen': 0.56, 'wed': 0, '…': 0}",neutral,"[0.63205063, 0.21282472, 0.15512462]",,,,,,,,,,,,,,,,negative
75.0,75.0,71.0,0.2333333333333333,neutral,"RT @CCC_CH: E-Voting - zu beachten: wenn die @postschweiz schon Mühe hat eine Drohne erfolgreich über den #Zürichsee zu befördern, wie soll…",e voting beachten schon mühen drohne erfolgreich zürichsee befördern,,,,,,,,,,,,,"{'E-Voting': 0, 'zu': 0, 'beachten': 0.23, 'wenn': 0.08, 'die': 0, 'schon': 0, 'Mühe': 0, 'hat': 0, 'eine': 0, 'Drohne': 0.21, 'erfolgreich': 0, 'über': 0.06, 'den': 0, 'Zürichsee': 0.09, 'befördern': 0, 'wie': 0.52, 'soll': 0, '…': 0}",negative,"[0.25879425, 0.67804396, 0.063161805]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: E-Voting - der Chaos Computer Club Schweiz wartet sehnlichst auf die
- ganzen @KPMG-Zertifizierungsunterlagen,
- den @scytl-Que…",e voting chaos computer club schweiz warten sehnlichst ganz zertifizierungsunterlagen que,,,,,,,,,,,,,"{'E-Voting': 0, 'der': 0.09, 'Chaos': 0.1, 'Computer': 0.05, 'Club': 0.05, 'Schweiz': 0.06, 'wartet': 0.06, 'sehnlichst': 0, 'auf': 0, 'die': 0.09, 'ganzen': 0, '-Zertifizierungsunterlagen': 0.21, 'den': 0.09, '-Que': 0, '…': 0}",negative,"[0.28872353, 0.5128356, 0.1984409]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @Nils_Gueggi: Der @FabianSchaefer1 mit einleuchtendem Plädoyer gegen E-Voting und der Mahnung zur Vorsicht beim E-Collecting in der Schw…,einleuchtend plädoyer e voting mahnung vorsicht beim e collecting schw,,,,,,,,,,,,,"{'Der': 0.13, 'mit': 0.09, 'einleuchtendem': 0.15, 'Plädoyer': 0.2, 'gegen': 0.1, 'E-Voting': 0, 'und': 0.09, 'der': 0.13, 'Mahnung': 0.24, 'zur': 0.115, 'Vorsicht': 0, 'beim': 0.13, 'E-Collecting': 0, 'in': 0.15, 'Schw': 0.33, '…': 0}",neutral,"[0.48582476, 0.38582993, 0.12834534]",,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @CCC_CH: E-Voting - @claudioluck im @SRF-Radio:
""Das Internet senkt die Kosten für Angriffe und deshalb ist es eine sehr dumme Idee, ein…",e voting radio internet senken kosten angriffe deshalb dumme idee,,,,,,,,,,,,,"{'E-Voting': 0, 'im': 0, '-Radio': 0, 'Das': 0.04, 'Internet': 0.08, 'senkt': 0.07, 'die': 0.04, 'Kosten': 0, 'für': 0, 'Angriffe': 0.07, 'und': 0, 'deshalb': 0, 'ist': 0, 'es': 0, 'eine': 0, 'sehr': 0.14, 'dumme': 0.38, 'Idee': 0, 'ein': 0, '…': 0}",negative,"[0.13410226, 0.8246009, 0.041296832]",,,,,,,,,,,,,,,,negative
