answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
100.0,100.0,100.0,0.85,neutral,"RT @CVP_PDC: Der Nationalrat hat soeben der #CVP-Lösung von 2⃣Wochen #Vaterschaftsurlaub 🍼zugestimmt!🎉
«Zwei Wochen ermöglichen eine besser…",nationalrat soeben cvp lösung wochen vaterschaftsurlaub zustimmen zwei wochen ermöglichen gut,"{'Der': 0.1, 'Nationalrat': 0.07500000000000001, 'hat': 0, 'soeben': 0.06, 'der': 0.1, 'CVP-Lösung': 0.22999999999999998, 'von': 0, '2⃣Wochen': 0, 'Vaterschaftsurlaub': 0.74, 'zugestimmt': 0, '«': 0, 'Zwei': 0, 'Wochen': 0, 'ermöglichen': 0, 'eine': 0, 'besser': 0, '…': 0}",positive,"[0.40537703, 0.08911385, 0.5055091]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Fehlender Mut beim Bundesrat: Er lehnt den Vorschlag der #CVP für einen zweiwöchigen Vaterschaftsurlaub ab. Die Familien sind…,fehlend mut beim bundesrat lehnen vorschlag cvp zweiwöchigen vaterschaftsurlaub ab familien,"{'Fehlender': 0, 'Mut': 0, 'beim': 0.06, 'Bundesrat': 0.060000000000000005, 'Er': 0, 'lehnt': 0.11, 'den': 0.06, 'Vorschlag': 0.2, 'der': 0.06, 'CVP': 0.12, 'für': 0.13, 'einen': 0.14, 'zweiwöchigen': 0, 'Vaterschaftsurlaub': 0.7, 'ab': 0, 'Die': 0.06, 'Familien': 0, 'sind': 0.07, '…': 0}",neutral,"[0.94931126, 0.016359868, 0.034328897]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,negative,"RT @CVP_PDC: Linke und Rechte scheinen in Kauf zu nehmen, dass entlassene ältere Menschen weiterhin keine Rente aus der Pensionskasse bezie…",link rechte scheinen kauf nehmen entlassen alt menschen weiterhin rente pensionskasse bezie,,,,"{'Linke': 0.06, 'und': 0.04, 'Rechte': 0.06, 'scheinen': 0.10500000000000001, 'in': 0, 'Kauf': 0, 'zu': 0.13, 'nehmen': 0.13, 'dass': 0.22, 'entlassene': 0.17, 'ältere': 0.12, 'Menschen': 0.18, 'weiterhin': 0, 'keine': 0, 'Rente': 0, 'aus': 0, 'der': 0.16, 'Pensionskasse': 0.23500000000000001, 'bezie': 0, '…': 0}",negative,"[0.20236628, 0.7395168, 0.05811698]",,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.85,neutral,Auf dem Weg an das @JupaSG - an eine Debatte zur Sterbehilfe - bin wirklich sehr gespannt auf die Diskussion zu diesem facettenreichen Thema,debatte sterbehilfe wirklich spannen diskussion facettenreichen thema,,,,,,,"{'Auf': 0.07, 'dem': 0.06, 'Weg': 0, 'an': 0, 'das': 0.08, 'eine': 0, 'Debatte': 1.0, 'zur': 0.06, 'Sterbehilfe': 1.0, 'bin': 0, 'wirklich': 0.09, 'sehr': 0, 'gespannt': 0, 'auf': 0.07, 'die': 0.06, 'Diskussion': 0.17, 'zu': 0.06, 'diesem': 0.06, 'facettenreichen': 0.17, 'Thema': 0}",neutral,"[0.5665113, 0.0055529703, 0.42793566]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,"RT @CVP_PDC: .@gerhardpfister ""Die soziale Marktwirtschaft setzt den Menschen ins Zentrum, nicht die Idee. Und ist deshalb erfolgreicher al…",soziale marktwirtschaft setzen menschen zentrum idee deshalb erfolgreich al,,,,,,,,,,"{'Die': 0.06, 'soziale': 1.0, 'Marktwirtschaft': 0.9, 'setzt': 0.15, 'den': 0.06, 'Menschen': 0.18, 'ins': 0, 'Zentrum': 0.17, 'nicht': 0.21, 'die': 0.06, 'Idee': 0, 'Und': 0.08, 'ist': 0.05, 'deshalb': 0, 'erfolgreicher': 0.08, 'al': 0, '…': 0}",positive,"[0.024270289, 0.016124606, 0.95960516]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @CVP_PDC: .@NZZ, um das ein für alle Mal klarzustellen: Die soziale Marktwirtschaft findet man weder bei SP noch FDP. Sondern nur bei de…",all mal klarstellen soziale marktwirtschaft finden weder sp fdp de,,,,,,,,,,"{'um': 0, 'das': 0, 'ein': 0, 'für': 0.04, 'alle': 0, 'Mal': 0, 'klarzustellen': 0.04, 'Die': 0.1, 'soziale': 1.0, 'Marktwirtschaft': 0.775, 'findet': 0, 'man': 0, 'weder': 0, 'bei': 0, 'SP': 0.07, 'noch': 0, 'FDP': 0.18, 'Sondern': 0, 'nur': 0.02, 'de': 0, '…': 0}",positive,"[0.18894084, 0.27084544, 0.54021376]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @CVP_PDC: Ein Einsatz für strategisch wichtige Schweizer Firmen hat mit sozialer Marktwirtschaft zu tun #inpuncto 
https://t.co/UDvyj02g…",einsatz strategisch wichtig schweizer firmen sozial marktwirtschaft tun inpuncto,,,,,,,,,,"{'Ein': 0.05, 'Einsatz': 0, 'für': 0, 'strategisch': 0, 'wichtige': 0.08, 'Schweizer': 0.21, 'Firmen': 0.17, 'hat': 0, 'mit': 0.09, 'sozialer': 1.0, 'Marktwirtschaft': 0.725, 'zu': 0.03, 'tun': 0.035, 'inpuncto': 0}",positive,"[0.009615608, 0.0027300594, 0.98765427]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Hervorragend, jetzt gilt es, die IT-Bildungsoffensive schnell und konsequent umzusetzen. Unser Kanton muss fit für die Digitalisierung gemacht werden. https://t.co/yS7CKDjuvA",hervorragen gelten it bildungsoffensive schnellen konsequent umsetzen kanton fit digitalisierung,,,,,,,,,,,,,"{'Hervorragend': 0, 'jetzt': 0.02, 'gilt': 0, 'es': 0.01, 'die': 0.04, 'IT-Bildungsoffensive': 0.0275, 'schnell': 0, 'und': 0.02, 'konsequent': 0, 'umzusetzen': 0.035, 'Unser': 0.16, 'Kanton': 0.11, 'muss': 0.02, 'fit': 0.49, 'für': 1.0, 'Digitalisierung': 0, 'gemacht': 0, 'werden': 0}",positive,"[0.19427067, 0.011739314, 0.79399]",,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Die @CVP_PDC setzte sich als erste Partei für den Umweltschutz ein und ist diesem Kurs seither treu geblieben, daher muss sie jetzt - vor den Wahlen - auch keine programmatischen Pirouetten vollführen #TeamOrange #Seit1971 #environment #ClimateCrisis https://t.co/LAkk71jyba",setzen erste partei umweltschutz kurs seither treu bleiben daher wahlen programmatisch pirouetten vollführen teamorange seit1971 environment climatecrisis,,,,,,,,,,,,,,,,"{'Die': 0.07, 'setzte': 0, 'sich': 0, 'als': 0, 'erste': 0.37, 'Partei': 0.67, 'für': 0.58, 'den': 0.07, 'Umweltschutz': 0.6950000000000001, 'ein': 0, 'und': 0.36, 'ist': 0, 'diesem': 0.08, 'Kurs': 0.15, 'seither': 0.09, 'treu': 0.02, 'geblieben': 0.2, 'daher': 0, 'muss': 0.02, 'sie': 0, 'jetzt': 0.06, 'vor': 0.05, 'Wahlen': 0, 'auch': 0, 'keine': 0, 'programmatischen': 0.13, 'Pirouetten': 0.09, 'vollführen': 0, 'TeamOrange': 0.08, 'Seit1971': 0, 'environment': 0.05, 'ClimateCrisis': 0.14}",positive,"[0.23004346, 0.023952745, 0.74600375]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Selbst in diesem Artikel überwiegen die Nachteile deutlich die Vorteile eines Beitritts! https://t.co/3roqji4pCC,artikel überwiegen nachteile deutlich vorteile beitritts,,,,,,,,,,,,,,,,,,,"{'Selbst': 0, 'in': 0.11, 'diesem': 0.1, 'Artikel': 0.26, 'überwiegen': 0, 'die': 0.14, 'Nachteile': 0, 'deutlich': 0, 'Vorteile': 0, 'eines': 0, 'Beitritts': 0}",negative,"[0.04958729, 0.84264433, 0.1077684]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Neben dem Kantonsrat gilt es am 08. März, auch den Regierungsrat neu zu wählen. Mit Bruno #Damann und Susanne #Hartmann stellt sich das perfekte Duo zur Wahl, welches die Durchsetzungskraft, Weitsicht und Fachkompetenz besitzt, um unseren Kanton weiterzubringen. #Wahlen2020 #SG https://t.co/YA8Jg2kDZA",neben kantonsrat gelten märz regierungsrat neu wählen bruno damann susanne hartmann stellen perfekte duo wahl welch durchsetzungskraft weitsicht fachkompetenz besitzen kanton weiterbringen wahlen2020 sg,,,,,,,,,,,,,,,,,,,,,,"{'Neben': 0, 'dem': 0.16999999999999998, 'Kantonsrat': 0.060000000000000005, 'gilt': 0, 'es': 0, 'am': 0, '08.': 0, 'März': 0.03, 'auch': 0.06, 'den': 0.1, 'Regierungsrat': 0.04, 'neu': 0.03, 'zu': 0.24, 'wählen': 0, 'Mit': 0, 'Bruno': 0.13, 'Damann': 0.1, 'und': 0.13, 'Susanne': 0.12, 'Hartmann': 0.14, 'stellt': 0, 'sich': 0, 'das': 0, 'perfekte': 0.21, 'Duo': 0.14, 'zur': 0.16999999999999998, 'Wahl': 0, 'welches': 0, 'die': 0.1, 'Durchsetzungskraft': 0.16, 'Weitsicht': 0.12, 'Fachkompetenz': 0, 'besitzt': 0, 'um': 0, 'unseren': 0.46, 'Kanton': 0.59, 'weiterzubringen': 0, 'Wahlen2020': 0, 'SG': 0.3}",positive,"[0.16837963, 0.056027602, 0.77559274]",,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @jcvp_sg: ""Als Knotenpunkt zwischen Zürich, Chur und St. Gallen ist eine gute Anbindung an den öffentlichen Verkehr für das Sarganserlan…",knotenpunkt zürich chur st gallen gut anbindung öffentlich verkehr sarganserlan,,,,,,,,,,,,,,,,,,,,,,,,,"{'Als': 0, 'Knotenpunkt': 0.15, 'zwischen': 0.08, 'Zürich': 0, 'Chur': 0, 'und': 0.05, 'St.': 0, 'Gallen': 0.13, 'ist': 0.31, 'eine': 0, 'gute': 0, 'Anbindung': 1.0, 'an': 0, 'den': 0.19, 'öffentlichen': 0.18, 'Verkehr': 0, 'für': 0.19, 'das': 0, 'Sarganserlan': 0.33, '…': 0}",positive,"[0.014561135, 0.0057420074, 0.9796968]",positive
