answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"RT @GrueneCH: Auf diesen Tag haben wir lange genug gewartet! 😍 Der Vaterschaftsurlaub tritt am 1. Januar 2021 in der 🇨🇭 in Kraft! 🥳

https:…",tag lang genug warten vaterschaftsurlaub tritt januar kraft https,"{'Auf': 0.2, 'diesen': 0.03, 'Tag': 0, 'haben': 0.04, 'wir': 0, 'lange': 0.02, 'genug': 0.02, 'gewartet': 0.08, 'Der': 0.03, 'Vaterschaftsurlaub': 0.395, 'tritt': 0, 'am': 0, '1.': 0, 'Januar': 0.07, '2021': 0, 'in': 0, 'der': 0.03, '🇨': 0, '🇭': 0, 'Kraft': 0, '🥳': 0, 'https': 0, '…': 0}",neutral,"[0.8681864, 0.064365596, 0.06744799]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @maennerch: Arbeitgeber mit Zukunft: @liip bietet keine Hierarchien, Teilzeit für alle, 4 Wochen #Vaterschaftsurlaub - Bravo! @anderager…",arbeitgeber zukunft bieten hierarchien teilzeit all wochen vaterschaftsurlaub bravo,"{'Arbeitgeber': 0.09, 'mit': 0.05, 'Zukunft': 0.12, 'bietet': 0.22, 'keine': 0, 'Hierarchien': 0.25, 'Teilzeit': 0.05500000000000001, 'für': 0.07, 'alle': 0.1, '4': 0, 'Wochen': 0.25, 'Vaterschaftsurlaub': 1.0, 'Bravo': 1.0, '…': 0}",positive,"[0.0009749652, 0.0017539695, 0.997271]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @GrueneCH: Initiative für #Vaterschaftsurlaub eingereicht - Grüne packen mit an! @anderageru @nr_mayagraf und @vanVulpenB https://t.co/Q…,initiative vaterschaftsurlaub einreichen grüne packen,"{'Initiative': 0.32, 'für': 0.57, 'Vaterschaftsurlaub': 0.47, 'eingereicht': 0.27, 'Grüne': 0, 'packen': 0, 'mit': 0, 'an': 0, 'und': 0.18}",positive,"[0.0062203635, 0.004326964, 0.9894526]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @KasparJoss: Daumen hoch! #vaterschaftsurlaub
«Sechs Wochen Abwesenheit in 45 Arbeitsjahren eines Mannes» 

https://t.co/SOQ3BVeto2",daumen hoch vaterschaftsurlaub sechs wochen abwesenheit arbeitsjahren mannes,"{'Daumen': 0, 'hoch': 0, 'vaterschaftsurlaub': 0.54, '«': 0, 'Sechs': 0, 'Wochen': 0, 'Abwesenheit': 0, 'in': 0, '45': 0, 'Arbeitsjahren': 0, 'eines': 0, 'Mannes': 0, '»': 0}",negative,"[0.1728053, 0.61943215, 0.20776257]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @papizeit: #Vaterschaftsurlaub ist betrieblich möglich und volkswirtschaftlich notwendig, sagt @anderageru @liip   https://t.co/VWrTar7F…",vaterschaftsurlaub betrieblich möglich volkswirtschaftlich notwendig sagen,"{'Vaterschaftsurlaub': 0.79, 'ist': 0.27, 'betrieblich': 0, 'möglich': 0.22, 'und': 0.16, 'volkswirtschaftlich': 0.16, 'notwendig': 0.25, 'sagt': 0.39}",positive,"[0.14400423, 0.02966527, 0.8263305]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @wecollectCH: Und wie immer Blumen an @rootLogin @anderageru @liip https://t.co/PypvWZphb3 #Vaterschaftsurlaub https://t.co/ULONScig9t,immer blumen vaterschaftsurlaub,"{'Und': 0.1, 'wie': 0, 'immer': 0.12, 'Blumen': 0, 'an': 0, 'Vaterschaftsurlaub': 0.48}",positive,"[0.013764966, 0.0034957565, 0.9827392]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @chplusplus: E-Voting ohne eine 100% Open Source Zusicherung? 

CH++ nimmt Stellung zur E-Voting Vorlage

https://t.co/kjY43Q3g1A https:…",e voting open source zusicherung ch nehmen stellung e voting vorlage https,,,,"{'E-Voting': 0, 'ohne': 0.52, 'eine': 0, '100': 0, 'Open': 0.09, 'Source': 0.2, 'Zusicherung': 0.55, 'CH++': 0, 'nimmt': 0, 'Stellung': 0, 'zur': 0.19, 'Vorlage': 0.2, 'https': 0.63, '…': 0}",neutral,"[0.7297434, 0.060510144, 0.20974645]",,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,negative,"RT @bglaettli: BR bewillige #Kriegsmaterialexport an Länder, die in Jemen Krieg verwickelt sind. Skandalös! https://t.co/aCrbxNP3H9 /@Gruen…",br bewilligen kriegsmaterialexport länder jemen krieg verwickeln skandalös,,,,,,,"{'BR': 0.06, 'bewillige': 0, 'Kriegsmaterialexport': 0.14, 'an': 0, 'Länder': 0.07, 'die': 0, 'in': 0.05, 'Jemen': 0.09, 'Krieg': 0.16, 'verwickelt': 0.08, 'sind': 0, 'Skandalös': 1.0, '…': 0}",positive,"[0.050099593, 0.025940636, 0.9239598]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @martinsteiger: «Ob E-ID, Public Cloud oder digitale Barrierefreiheit: Bei allen Dossiers, die irgendwie mit Digitalisierung zu tun habe…",e id public cloud digitale barrierefreiheit dossiers irgendwie digitalisierung tun,,,,,,,,,,"{'«': 0, 'Ob': 0, 'E-ID': 0, 'Public': 0, 'Cloud': 0, 'oder': 0, 'digitale': 0, 'Barrierefreiheit': 0, 'Bei': 0, 'allen': 0, 'Dossiers': 0, 'die': 0, 'irgendwie': 0, 'mit': 0, 'Digitalisierung': 0, 'zu': 0, 'tun': 0, 'habe': 0, '…': 0}",neutral,"[0.9159329, 0.010357111, 0.07371001]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"Genau! ""Doch Föderalismus und Digitalisierung schliessen sich keineswegs aus [...] Gerade wenn es um die Entwicklung von Software geht, sind föderale Strukturen sogar im Vorteil gegenüber zentralisierten. Gemeint ist sogenannte #OpenSource -Software.""
https://t.co/Bv3Dpf04fW",genau föderalismus digitalisierung schliessen keineswegs gerade entwicklung software gehen föderal strukturen sogar vorteil gegenüber zentralisieren sogenannt opensource software,,,,,,,,,,"{'Genau': 0.02, 'Doch': 0.08, 'Föderalismus': 0.35, 'und': 0.27, 'Digitalisierung': 0, 'schliessen': 0, 'sich': 0, 'keineswegs': 0.0575, 'aus': 0, '...': 0, 'Gerade': 0, 'wenn': 0, 'es': 0.01, 'um': 0, 'die': 0, 'Entwicklung': 0.06, 'von': 0, 'Software': 0.11, 'geht': 0, 'sind': 0.12, 'föderale': 0.05, 'Strukturen': 0.03, 'sogar': 0.01, 'im': 0, 'Vorteil': 0.03, 'gegenüber': 0.02, 'zentralisierten': 0.03, 'Gemeint': 0, 'ist': 0.01, 'sogenannte': 0, 'OpenSource': 0.07, '-Software': 0}",neutral,"[0.5737947, 0.092061214, 0.334144]",,,,neutral
100.0,100.0,100.0,1.0,positive,RT @andre_marty_: @sgbfss Und gleich nochmals tolle News. Der Bundesrat empfielt auch die Motion zur #Digitalisierung und Weiterentwicklung…,gleichen nochmals toll news bundesrat empfielt motion digitalisierung weiterentwicklung,,,,,,,,,,"{'Und': 0.32, 'gleich': 0, 'nochmals': 0.03, 'tolle': 0.07, 'News': 0.1, 'Der': 0.12, 'Bundesrat': 0.09, 'empfielt': 0.21, 'auch': 0.07, 'die': 0.12, 'Motion': 0.29, 'zur': 0.12, 'Digitalisierung': 0, 'und': 0.32, 'Weiterentwicklung': 0.235, '…': 0}",positive,"[0.046566844, 0.005444784, 0.9479884]",,,,positive
50.0,75.0,57.0,0.0,neutral,"Debattiere am 17.5. mit @FGrueter zur Rolle des Staates im Zeitalter der Digitalisierung. @e_id_referendum hallt nach!

@chplusplus @digiges_ch @Publicbeta_CH 

https://t.co/GKzvirKgQG",debattieren rolle staates zeitalter digitalisierung hallen,,,,,,,,,,"{'Debattiere': 0.34, 'am': 0, '17.5.': 0, 'mit': 0, 'zur': 0.13, 'Rolle': 0.37, 'des': 0, 'Staates': 0.16, 'im': 0, 'Zeitalter': 0.29, 'der': 0.13, 'Digitalisierung': 0, 'hallt': 0, 'nach': 0}",positive,"[0.013185603, 0.008363398, 0.978451]",,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @GrueneCH: In den letzten Jahren hat die Digitalisierung noch mehr Lebensbereiche durchdrungen. In der aktuellen Greenfo-Ausgabe stellt…,letzt jahren digitalisierung mehr lebensbereiche durchdringen aktuell greenfo ausgabe stellen,,,,,,,,,,"{'In': 0.38, 'den': 0.26, 'letzten': 0, 'Jahren': 0.08, 'hat': 0, 'die': 0.26, 'Digitalisierung': 0, 'noch': 0, 'mehr': 0.06, 'Lebensbereiche': 0.0975, 'durchdrungen': 0.15, 'der': 0.26, 'aktuellen': 0.27, 'Greenfo-Ausgabe': 0.46, 'stellt': 0, '…': 0}",positive,"[0.034436308, 0.0073115323, 0.95825213]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @LuzernerZeitung: Die Grünen lancieren vier Vorstösse zur #Digitalisierung auf dem Lande. @rahel_estermann @Gruene_LU @KantonLuzern
http…",grün lancieren vier vorstösse digitalisierung lande http,,,,,,,,,,"{'Die': 0.08, 'Grünen': 0.1, 'lancieren': 0, 'vier': 0.21, 'Vorstösse': 0, 'zur': 0.08, 'Digitalisierung': 0, 'auf': 0, 'dem': 0.08, 'Lande': 0, 'http': 0.57, '…': 0}",positive,"[0.2916299, 0.012499715, 0.6958703]",,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @jobstwagner: Digitalisierung &amp; Leadership: https://t.co/RWcFKbYIrs Hochkarätige Debatte von @strategiedialog morgen u.a. mit @hangasser…,digitalisierung amp leadership hochkarätig debatte morgen u a,,,,,,,,,,"{'Digitalisierung': 0, 'amp': 0.18, 'Leadership': 0.18, 'Hochkarätige': 0.05, 'Debatte': 0.1, 'von': 0, 'morgen': 0.1, 'u.a.': 0, 'mit': 0.06, '…': 0}",positive,"[0.060616195, 0.00416475, 0.93521905]",,,,positive
50.0,75.0,57.0,0.0,neutral,RT @leumund: bei @liip hat man eine API für den öffentlichen Verkehr entwickelt. Danke! http://t.co/QnFVSjQa #makeopendata,api öffentlich verkehr entwickeln danke makeopendata,,,,,,,,,,,,,"{'bei': 0.06, 'hat': 0, 'man': 0, 'eine': 0, 'API': 0.1, 'für': 0.05, 'den': 0, 'öffentlichen': 0.07, 'Verkehr': 0, 'entwickelt': 0.1, 'Danke': 0.05500000000000001, 'makeopendata': 1.0}",positive,"[0.09923505, 0.029254895, 0.8715101]",neutral
