answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,positive,"@EnzFelix @LorisNiUr @tim_voser Mit dem Lernen soll man auch klotzen. Aber niemand MUSSTE seine Kinder zuhause haben: dafür gab's Betreuungsprogramme, von Schulen (oblig.) zur Verfügung gestellt. Also zu sagen, dass hier eine riesige Chancenungleichheit wegen Kinderbetreuung herrsche, ist etwas dramatisch.",lernen klotzen niemand kinder zuhause dafür geben s betreuungsprogramme schulen oblig verfügung stellen sagen riesige chancenungleichheit wegen kinderbetreuung herrschen dramatisch,"{'Mit': 0, 'dem': 0.03, 'Lernen': 0.03, 'soll': 0, 'man': 0, 'auch': 0.02, 'klotzen': 0, 'Aber': 0.02, 'niemand': 0.03, 'MUSSTE': 0.025, 'seine': 0, 'Kinder': 0.05, 'zuhause': 0.02, 'haben': 0.025, 'dafür': 0, ""gab's"": 0.08, 'Betreuungsprogramme': 0.07, 'von': 0, 'Schulen': 0.11, 'oblig': 0, 'zur': 0.03, 'Verfügung': 0, 'gestellt': 0, 'Also': 0.02, 'zu': 0.03, 'sagen': 0.04, 'dass': 0.06, 'hier': 0.23, 'eine': 0, 'riesige': 0.11, 'Chancenungleichheit': 0.27, 'wegen': 0, 'Kinderbetreuung': 1.0, 'herrsche': 0, 'ist': 0.07, 'etwas': 0, 'dramatisch': 0.12}",negative,"[0.08265437, 0.4685368, 0.44880873]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,@ChDialect Weniger Auflagen für private Kinderbetreuung.,wenig auflagen privat kinderbetreuung,"{'Weniger': 0.36, 'Auflagen': 0, 'für': 0.4, 'private': 1.0, 'Kinderbetreuung': 1.0}",positive,"[0.23680057, 0.019965464, 0.7432339]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"@eidgenossennews Das ist so - leider hört man das aber zu allen Themen. Klimaschutz, Sozialleistungen, Kinderbetreuung, usw. Mit dem Hammer 'wir sind reich und können uns das leisten' wird jegliche fruchtbare Diskussion über Sinn und Unsinn einer Massnahme zunichte gemacht.",leider hören themen klimaschutz sozialleistungen kinderbetreuung usw hammer reichen leisten jeglich fruchtbar diskussion sinn unsinn massnahme zunichte,"{'Das': 0.04, 'ist': 0.09, 'so': 0, 'leider': 0.19, 'hört': 0, 'man': 0, 'das': 0.07, 'aber': 0.08, 'zu': 0, 'allen': 0, 'Themen': 0, 'Klimaschutz': 0.175, 'Sozialleistungen': 0.27, 'Kinderbetreuung': 0, 'usw.': 0, 'Mit': 0.23, 'dem': 0.04, 'Hammer': 0.13, 'wir': 0, 'sind': 0.04, 'reich': 0, 'und': 0.05, 'können': 0, 'uns': 0, 'leisten': 0.06, 'wird': 0, 'jegliche': 0.18, 'fruchtbare': 0, 'Diskussion': 0.13, 'über': 0, 'Sinn': 0, 'Unsinn': 0.06, 'einer': 0, 'Massnahme': 0.06, 'zunichte': 0, 'gemacht': 0}",positive,"[0.048315097, 0.062163036, 0.88952184]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,positive,"@corinaliebi Einen biologischen Nachteil werden wir haben, bis Männer Kinder austragen können, sprich, für immer.
Aber anstatt diesen noch mit erzwungenem Arbeitsausausfall zu verschlimmern, könnte man besser die Möglichkeiten der Kinderbetreuung angehen!",biologisch nachteil männer kinder austragen sprechen immer anstatt erzwungen arbeitsausausfall verschlimmern gut möglichkeiten kinderbetreuung angehen,"{'Einen': 0.03, 'biologischen': 0.03, 'Nachteil': 0.07, 'werden': 0.02, 'wir': 0, 'haben': 0.02, 'bis': 0.06, 'Männer': 0.03, 'Kinder': 0.05, 'austragen': 0, 'können': 0, 'sprich': 0, 'für': 0, 'immer': 0, 'Aber': 0.03, 'anstatt': 0.035, 'diesen': 0.07, 'noch': 0, 'mit': 0.04, 'erzwungenem': 0.07, 'Arbeitsausausfall': 0.04, 'zu': 0, 'verschlimmern': 0, 'könnte': 0.11, 'man': 0, 'besser': 0.31, 'die': 0, 'Möglichkeiten': 0, 'der': 0, 'Kinderbetreuung': 1.0, 'angehen': 0}",positive,"[0.1624594, 0.17535323, 0.66218734]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"@spschweiz Keine Frau braucht das in der Verfassung. Wie wäre es Anreize zu schaffen, bürokratische Hürden für Kinderbetreuung zu senken, Steuerlast von Doppelverdiener-Haushalten anzugehen? Ah stimmt - nicht symbolpolitisch genug. @FDP_Liberalen statt Effekthascherei. #NotMyFeminism",frau brauchen verfassung anreize schaffen bürokratische hürden kinderbetreuung senken steuerlast doppelverdiener haushalten angehen ah stimmen symbolpolitisch genug statt effekthascherei notmyfeminism,"{'Keine': 0, 'Frau': 0, 'braucht': 0.01, 'das': 0.01, 'in': 0.01, 'der': 0.02, 'Verfassung': 0.03, 'Wie': 0, 'wäre': 0, 'es': 0, 'Anreize': 0.02, 'zu': 0, 'schaffen': 0, 'bürokratische': 0.03, 'Hürden': 0, 'für': 0.02, 'Kinderbetreuung': 0.09, 'senken': 0, 'Steuerlast': 0.03, 'von': 0, 'Doppelverdiener-Haushalten': 0.03, 'anzugehen': 0, 'Ah': 0.03, 'stimmt': 0.03, 'nicht': 0.08, 'symbolpolitisch': 0, 'genug': 0.03, 'statt': 0.05, 'Effekthascherei': 0.09, 'NotMyFeminism': 1.0}",negative,"[0.33736742, 0.5429128, 0.11971979]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@lianawoman Niemand muss Kinder haben, wenn Sie das als Nachteil sehen. Männer werden nie gebären können. Und das alles hat mit dem Rentenalter nichts zu tun - ich will Gleichberechtigung vor dem Staat, das ist nicht zu viel verlangt.",niemand kinder nachteil sehen männer nie gebären rentenalter tun gleichberechtigung staat verlangen,,,,"{'Niemand': 0, 'muss': 0.13, 'Kinder': 0.04, 'haben': 0.08, 'wenn': 0.05, 'Sie': 0, 'das': 0.11, 'als': 0.03, 'Nachteil': 0.09, 'sehen': 0.03, 'Männer': 0.06, 'werden': 0.07, 'nie': 0, 'gebären': 0.05, 'können': 0.045, 'Und': 0.37, 'alles': 0, 'hat': 0, 'mit': 0.36, 'dem': 0.085, 'Rentenalter': 0.5599999999999999, 'nichts': 0, 'zu': 0.13, 'tun': 0.565, 'ich': 0.13, 'will': 0.07, 'Gleichberechtigung': 0, 'vor': 0.08, 'Staat': 0.05, 'ist': 0, 'nicht': 0.1, 'viel': 0.03, 'verlangt': 0}",neutral,"[0.9225123, 0.024485601, 0.05300214]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@lianawoman Kann Frau alles selbst beeinflussen mit Karriere- und Familienplanung - der Staat ist nicht dafür verantwortlich. Es gibt keinen Grund weshalb Frauen und Männer nicht gleichgestellt sein sollen vor dem Staat - sprich beim Rentenalter.,frau beeinflussen karriere familienplanung staat dafür verantwortlich geben grund weshalb frauen männer gleichstellen sollen staat sprechen beim rentenalter,,,,"{'Kann': 0.02, 'Frau': 0, 'alles': 0.06, 'selbst': 0, 'beeinflussen': 0.07, 'mit': 0.03, 'Karriere-': 0, 'und': 0.06, 'Familienplanung': 0.07, 'der': 0.05, 'Staat': 0.09, 'ist': 0.07, 'nicht': 0.03, 'dafür': 0, 'verantwortlich': 0.05, 'Es': 0.07, 'gibt': 0, 'keinen': 0, 'Grund': 0, 'weshalb': 0.03, 'Frauen': 0.13, 'Männer': 0.07, 'gleichgestellt': 0, 'sein': 0, 'sollen': 0.02, 'vor': 0, 'dem': 0.18, 'sprich': 0, 'beim': 0.05, 'Rentenalter': 1.0}",neutral,"[0.531637, 0.0071383542, 0.4612246]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"Ich finde es diskriminierend, dass Frauen nicht gleich lange arbeiten sollen wie Männer. Deshalb: gleiches Rentenalter für alle.",finden diskriminieren frauen gleichen lang arbeiten sollen männer deshalb gleich rentenalter all,,,,"{'Ich': 0.07, 'finde': 0.14, 'es': 0, 'diskriminierend': 0.42, 'dass': 0.13, 'Frauen': 0.08, 'nicht': 0, 'gleich': 1.0, 'lange': 0, 'arbeiten': 0.05, 'sollen': 0, 'wie': 0, 'Männer': 0.07, 'Deshalb': 0.75, 'gleiches': 1.0, 'Rentenalter': 0.915, 'für': 1.0, 'alle': 0.48}",positive,"[0.18152817, 0.019356769, 0.79911506]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
75.0,100.0,86.0,0.5666666666666667,neutral,"@rpk1111 @RentenVI @Jungfreisinnige Sie sagten, mehr Einzahler kämen und das löse das Problem :)

Genau, wir möchten diese stabile Basis schaffen und das Rentenalter entpolitisieren. Wir sind gleicher Meinung, also hoffe ich, Sie haben die Initiative bereits unterschrieben! :)
Sonst hier: https://t.co/HBTIKS3Zp2",sagen mehr einzahler kommen lösen problem genau mögen stabile basis schaffen rentenalter entpolitisieren gleich meinung hoffen initiative bereits unterschreiben,,,,"{'Sie': 0, 'sagten': 0.03, 'mehr': 0.02, 'Einzahler': 0, 'kämen': 0.015, 'und': 0.18, 'das': 0.01, 'löse': 0.03, 'Problem': 0.05, 'Genau': 0.034999999999999996, 'wir': 0, 'möchten': 0.01, 'diese': 0.04, 'stabile': 0.08, 'Basis': 0.05, 'schaffen': 0.14, 'Rentenalter': 0.2, 'entpolitisieren': 1.0, 'Wir': 0.02, 'sind': 0, 'gleicher': 0, 'Meinung': 0, 'also': 0, 'hoffe': 0.03, 'ich': 0.01, 'haben': 0.1, 'die': 0.03, 'Initiative': 0.1, 'bereits': 0.02, 'unterschrieben': 0.05, 'Sonst': 0.03, 'hier': 0.02}",neutral,"[0.9446499, 0.009701211, 0.045648895]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.7999999999999999,neutral,"@russo_lf @RegulaRytz Eine neue Pflicht ist ehrlichgesagt die letzte Form von Gleichstellung, die ich unterstütze als Liberale. Gleiches Rentenalter, flexible Elternzeit, bessere Betreuungsmöglichkeiten etc. Ich sehe es recht problematisch, Frauen für den Arbeitsmarkt noch unattraktiver zu machen.",neue pflicht ehrlichgesagt letzte form gleichstellung unterstützen liberale gleich rentenalter flexible elternzeit gut betreuungsmöglichkeiten etc sehen recht problematisch frauen arbeitsmarkt unattraktiver,,,,"{'Eine': 0, 'neue': 0.11, 'Pflicht': 0.05, 'ist': 0.08, 'ehrlichgesagt': 0, 'die': 0.04, 'letzte': 0.11, 'Form': 0.07, 'von': 0, 'Gleichstellung': 0.24, 'ich': 0.13, 'unterstütze': 0.1, 'als': 0.12, 'Liberale': 0, 'Gleiches': 1.0, 'Rentenalter': 0.775, 'flexible': 0.68, 'Elternzeit': 0.07500000000000001, 'bessere': 0.28, 'Betreuungsmöglichkeiten': 0.22, 'etc.': 0, 'Ich': 0.13, 'sehe': 0.19, 'es': 0.08, 'recht': 0, 'problematisch': 0.53, 'Frauen': 0.07, 'für': 0.05, 'den': 0.04, 'Arbeitsmarkt': 0.03, 'noch': 0, 'unattraktiver': 0.045, 'zu': 0.07, 'machen': 0}",positive,"[0.025860786, 0.0053482684, 0.96879095]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"@spschweiz @BaGysi Eine Anhebung des Rentenalters für Frauen ist das Zeichen dafür, dass Frauen gleichgestellt werden sollen. Dass der SP das nicht passt, ist tatsächlich zynisch.",anhebung rentenalters frauen zeichen dafür frauen gleichstellen sollen sp passt tatsächlich zynisch,,,,"{'Eine': 0, 'Anhebung': 1.0, 'des': 0, 'Rentenalters': 0.7949999999999999, 'für': 0.61, 'Frauen': 0.24, 'ist': 0.05, 'das': 0.08, 'Zeichen': 0.46, 'dafür': 0, 'dass': 0.08, 'gleichgestellt': 0, 'werden': 0, 'sollen': 0.08, 'Dass': 0.08, 'der': 0.12, 'SP': 0.07, 'nicht': 0.09, 'passt': 0, 'tatsächlich': 0, 'zynisch': 0.16}",negative,"[0.24363075, 0.59495217, 0.16141717]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
75.0,75.0,86.0,0.4333333333333333,neutral,"Man staune: @BaGysi ist gegen gleiches Rentenalter und steht damit der Gleichstellung im Weg.
@seilergraf degradiert unsere einzige Militärpilotin zur ""sympathischen Werbeträgerin"" beim Thema Kampfjets.

Hat die @spschweiz etwa ein Sexismusproblem?",staunen gleich rentenalter stehen gleichstellung degradieren einzig militärpilotin sympathisch werbeträgerin beim thema kampfjets etwa sexismusproblem,,,,"{'Man': 0, 'staune': 0, 'ist': 0.74, 'gegen': 1.0, 'gleiches': 1.0, 'Rentenalter': 0.5249999999999999, 'und': 0.21, 'steht': 0.21, 'damit': 0.05500000000000001, 'der': 0.03, 'Gleichstellung': 0.22, 'im': 0, 'Weg': 0, 'degradiert': 0, 'unsere': 0.04, 'einzige': 0.03, 'Militärpilotin': 0.075, 'zur': 0.035, 'sympathischen': 0.08, 'Werbeträgerin': 0.05, 'beim': 0.03, 'Thema': 0, 'Kampfjets': 0.08, 'Hat': 0, 'die': 0.03, 'etwa': 0, 'ein': 0.14, 'Sexismusproblem': 0}",positive,"[0.18384528, 0.07976332, 0.73639137]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"Wir Frauen wollen gleiche Löhne.
Wir wollen gleiche Chancen.
Wir wollen gleiche Rechte.

Aber gleiches Rentenalter, das wollen Frauen wie @BaGysi dann nicht. Es sei ""nicht tragbar"". 

Genau mein Humor. 
 https://t.co/n6TYMcOmzZ",frauen gleich löhnen gleich chancen gleich rechte gleich rentenalter frauen tragbar genau humor,,,,"{'Wir': 0.03, 'Frauen': 0.2, 'wollen': 0.79, 'gleiche': 1.0, 'Löhne': 0.04, 'Chancen': 0.05, 'Rechte': 0, 'Aber': 0.16, 'gleiches': 1.0, 'Rentenalter': 0.9550000000000001, 'das': 0, 'wie': 0, 'dann': 0.2, 'nicht': 0.36, 'Es': 0.16, 'sei': 0, 'tragbar': 0, 'Genau': 0, 'mein': 0.05, 'Humor': 0.09}",negative,"[0.22480476, 0.75200844, 0.023186838]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @feusl: @GBindschedler @gporlezza @Heierle @gerhardpfister @CVP_PDC Ich habe einen Traum: Die @spschweiz lehnt eine Rentenaltererhöhung…,traum lehnen rentenaltererhöhung,,,,"{'Ich': 0.24, 'habe': 0.24, 'einen': 0.12, 'Traum': 0.66, 'Die': 0.38, 'lehnt': 1.0, 'eine': 0, 'Rentenaltererhöhung': 0.6699999999999999, '…': 0}",positive,"[0.062416073, 0.05731999, 0.8802639]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @tagesanzeiger: Ein guter Teil der über 50-Jährigen ist definitiv bereit, über das ordentliche Rentenalter hinaus zu arbeiten. https://t…",gut teil jährig definitiv bereiten ordentliche rentenalter hinaus arbeiten,,,,"{'Ein': 0.04, 'guter': 0, 'Teil': 0, 'der': 0.54, 'über': 0.08, '50-Jährigen': 0.16, 'ist': 0, 'definitiv': 0, 'bereit': 0.13, 'das': 0, 'ordentliche': 0, 'Rentenalter': 0.94, 'hinaus': 0, 'zu': 0.11, 'arbeiten': 0.16}",positive,"[0.1872459, 0.011849601, 0.8009045]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"@spschweiz @FDP_Liberalen @Jungfreisinnige @ChristaMarkwald Wirklich asozial ist es, die Erhöhung des Rentenalters zu bekämpfen.

Grüsse von einer u30.",wirklich asozial erhöhung rentenalters bekämpfen grüsse u30,,,,"{'Wirklich': 0.11, 'asozial': 0, 'ist': 0.08, 'es': 0.08, 'die': 0.08, 'Erhöhung': 0.15, 'des': 0.55, 'Rentenalters': 0.16499999999999998, 'zu': 0.07, 'bekämpfen': 0.18, 'Grüsse': 0, 'von': 0.55, 'einer': 0, 'u30.': 0}",negative,"[0.12378444, 0.58719337, 0.28902215]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,25.0,28.0,-0.15,neutral,"Wer noch immer leugnet, dass wir das Rentenalter erhöhen müssen, handelt fahrlässig und ignorant. https://t.co/dPp6n5g1tD",wer immer leugnen rentenalter erhöhen müssen handeln fahrlässig ignorant,,,,"{'Wer': 0.12, 'noch': 0.11, 'immer': 0, 'leugnet': 0, 'dass': 0.15, 'wir': 0, 'das': 0.15, 'Rentenalter': 0.8300000000000001, 'erhöhen': 1.0, 'müssen': 0.46, 'handelt': 0, 'fahrlässig': 0, 'und': 0.07, 'ignorant': 0}",neutral,"[0.48661557, 0.41769585, 0.09568856]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
