answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @kasparsutter: #Vaterschaftsurlaub jetzt! Die Wirtschaft finanziert 260 Diensttage fürs Militär. Da sind auch 20 Arbeitstage für Väter…,vaterschaftsurlaub wirtschaft finanzieren diensttage fürs militär arbeitstage väter,"{'Vaterschaftsurlaub': 0.67, 'jetzt': 0.24, 'Die': 0.03, 'Wirtschaft': 0, 'finanziert': 0, 'Diensttage': 0.04, 'fürs': 0.02, 'Militär': 0.06, 'Da': 0, 'sind': 0.04, 'auch': 0.05, 'Arbeitstage': 0.045, 'für': 0.02, 'Väter': 0.04, '…': 0}",positive,"[0.13917945, 0.021397721, 0.8394229]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,RT @GrueneCH: Lohngleichheit: ein zu grosser Schritt für die Menschheit? #EqualPayDay #LohngleichheitJETZT https://t.co/5cXKwBBcQl,lohngleichheit grosser schritt menschheit equalpayday lohngleichheitjetzt,,,,"{'Lohngleichheit': 0.565, 'ein': 0, 'zu': 0, 'grosser': 0, 'Schritt': 0.5, 'für': 0.14, 'die': 0, 'Menschheit': 0.3, 'EqualPayDay': 0.33, 'LohngleichheitJETZT': 0.565}",positive,"[0.2689985, 0.021625303, 0.70937616]",,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,RT @GrueneCH: Aktueller Steuerdeal #SV17 bedeutet massive Unternehmenssteuersenkungen auf dem Buckel der Lohnabhängigen und der Haushalte.…,aktuell steuerdeal sv17 bedeuten massiv unternehmenssteuersenkungen buckel lohnabhängigen haushalte,,,,,,,"{'Aktueller': 0.21, 'Steuerdeal': 0.32, 'SV17': 0.36, 'bedeutet': 0.9, 'massive': 1.0, 'Unternehmenssteuersenkungen': 0.86, 'auf': 0.21, 'dem': 0.11, 'Buckel': 0, 'der': 0.11, 'Lohnabhängigen': 0.20500000000000002, 'und': 0.13, 'Haushalte': 0.16, '…': 0}",positive,"[0.0042529297, 0.02743852, 0.96830857]",,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @kasparsutter: Wer eine Steuersenkung von 250 Mio. Franken fordert, nimmt beim heutigen Investitionsniveau eine jährliche Neuverschuldun…",wer steuersenkung mio franken fordern nehmen beim heutig investitionsniveau jährlich neuverschuldun,,,,,,,"{'Wer': 1.0, 'eine': 0, 'Steuersenkung': 0.855, 'von': 0, 'Mio.': 0, 'Franken': 0, 'fordert': 0, 'nimmt': 0.4, 'beim': 0.07, 'heutigen': 0, 'Investitionsniveau': 0, 'jährliche': 0.17, 'Neuverschuldun': 0, '…': 0}",neutral,"[0.64660305, 0.20656256, 0.14683437]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"https://t.co/NRYLjDF0JM . So ein Blödsinn! Die Pflicht für erneuerbare
Energien gilt nur, solang es zu keinen Mehrkosten führt! § 7. Abs 1",blödsinn pflicht erneuerbare energien gelten solang mehrkosten führen abs,,,,,,,,,,"{'So': 0, 'ein': 0, 'Blödsinn': 0, 'Die': 0.05, 'Pflicht': 0.03, 'für': 0.03, 'erneuerbare': 0.05, 'Energien': 0.04, 'gilt': 0, 'nur': 0.03, 'solang': 0.030000000000000002, 'es': 0, 'zu': 0.02, 'keinen': 0, 'Mehrkosten': 0.045, 'führt': 0, '§': 0, '7.': 0, 'Abs': 0}",neutral,"[0.5068187, 0.22909677, 0.26408458]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Hier die Stellungnahme der BS Regierung zu meiner Motion „Stop e-Voting in Basel-Stadt: https://t.co/ackvINDgr4 Ich bleibe dabei: als Motion und damit stoppen!,stellungnahme bs regierung motion stop e voting basel stadt bleiben dabei motion stoppen,,,,,,,,,,,,,"{'Hier': 0.05, 'die': 0.05, 'Stellungnahme': 0, 'der': 0.05, 'BS': 0.07, 'Regierung': 0.11, 'zu': 0, 'meiner': 0, 'Motion': 0, '„': 0, 'Stop': 0, 'e-Voting': 0, 'in': 0, 'Basel-Stadt': 0, 'Ich': 0, 'bleibe': 0, 'dabei': 0, 'als': 0, 'und': 0, 'damit': 0, 'stoppen': 0}",neutral,"[0.5517423, 0.28305992, 0.16519773]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Tja ... gibt es in Basel-Stadt immer noch Zweifel? Die Mehrheit des Parlaments stopptz e-Voting! https://t.co/SEv99Gj29k,tja geben basel stadt immer zweifel mehrheit parlaments stopptz e voting,,,,,,,,,,,,,"{'Tja': 0.09, '...': 0, 'gibt': 0.12, 'es': 0, 'in': 0.29, 'Basel-Stadt': 0.13, 'immer': 0, 'noch': 0.16, 'Zweifel': 0, 'Die': 0.36, 'Mehrheit': 0.69, 'des': 0, 'Parlaments': 0.56, 'stopptz': 0, 'e-Voting': 0}",neutral,"[0.70392954, 0.25817978, 0.037890702]",,,,,,,neutral
50.0,75.0,57.0,0.0,negative,Basel-Stadt stoppt e-Voting und überweist meine Motion! Lessons learned! @ccc_ch,basel stadt stoppen e voting überweisen motion lessons learned,,,,,,,,,,,,,"{'Basel-Stadt': 0.11, 'stoppt': 0.49, 'e-Voting': 0, 'und': 0.31, 'überweist': 0.49, 'meine': 0.26, 'Motion': 0.4, 'Lessons': 0.96, 'learned': 0.64}",positive,"[0.27257118, 0.19845025, 0.5289785]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Dies sollten alle Basler Grossrätinnen und Grossräte vor der morgigen Abstimmung zu ""Stop e-voting"" lesen ... https://t.co/kjZCvtXDVJ",sollen all basler grossrätinnen grossräte morgig abstimmung stop e voting lesen,,,,,,,,,,,,,"{'Dies': 0, 'sollten': 0.44, 'alle': 0, 'Basler': 0, 'Grossrätinnen': 0.14, 'und': 0, 'Grossräte': 0.14, 'vor': 1.0, 'der': 0, 'morgigen': 1.0, 'Abstimmung': 0, 'zu': 0, 'Stop': 0.14, 'e-voting': 0, 'lesen': 0.51, '...': 0}",neutral,"[0.85538846, 0.09269007, 0.05192154]",,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Sicherheit vor Tempo! Schützen wir unsere Demokratie vor Cyberangriffen: Jetzt Volksinitiative für ein E-Voting-Moratorium unterstützen. https://t.co/pEdfoPpL1v,sicherheit tempo schützen demokratie cyberangriffen volksinitiative e voting moratorium unterstützen,,,,,,,,,,,,,"{'Sicherheit': 0.61, 'vor': 1.0, 'Tempo': 0, 'Schützen': 0, 'wir': 0, 'unsere': 0.05, 'Demokratie': 0.06, 'Cyberangriffen': 0.06, 'Jetzt': 0.07, 'Volksinitiative': 0.045, 'für': 0.05, 'ein': 0, 'E-Voting-Moratorium': 0, 'unterstützen': 0.07}",neutral,"[0.47546327, 0.2744638, 0.2500729]",,,,,,,positive
100.0,100.0,100.0,1.0,negative,@CCC_CH @BaselStadt Dies und mein Vorstoss zu „Stopp e-Voting in BS“ - kommt leider erst in der Februarsitzung - sind doch schon mal ein guter Weg!,vorstoss stopp e voting bs kommen leider erst februarsitzung schon mal gut,,,,,,,,,,,,,"{'Dies': 0, 'und': 0.13, 'mein': 0.09, 'Vorstoss': 0, 'zu': 0.16, '„': 0, 'Stopp': 0, 'e-Voting': 0, 'in': 0, 'BS': 0, '“': 0, 'kommt': 0, 'leider': 0, 'erst': 0, 'der': 0, 'Februarsitzung': 0, 'sind': 0, 'doch': 0, 'schon': 0, 'mal': 0, 'ein': 0, 'guter': 0, 'Weg': 0}",positive,"[0.1698336, 0.4089014, 0.42126507]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: E-Voting - Bewegung im Kanton Jura: das Parlament lehnt die Einführung von #EVoting ab!
https://t.co/xDYYUlgnVF
#NoEVoting #par…",e voting bewegung kanton jura parlament lehnen einführung evoting ab noevoting par,,,,,,,,,,,,,"{'E-Voting': 0, 'Bewegung': 0, 'im': 0, 'Kanton': 0.04, 'Jura': 0.05, 'das': 0, 'Parlament': 0.06, 'lehnt': 0.18, 'die': 0.05, 'Einführung': 0.16, 'von': 0, 'EVoting': 0.23, 'ab': 0, 'NoEVoting': 1.0, 'par': 0, '…': 0}",neutral,"[0.5801349, 0.3482863, 0.07157879]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @CCC_CH: E-Voting - jetzt gehts Schlag auf Schlag: der Bundesrat eröffnet die #Vernehmlassung für einen flächendeckenden Betrieb von #EV…,e voting gehts schlag schlag bundesrat eröffnen vernehmlassung flächendeckenden betrieb ev,,,,,,,,,,,,,"{'E-Voting': 0, 'jetzt': 0.19, 'gehts': 0, 'Schlag': 0, 'auf': 0, 'der': 0.75, 'Bundesrat': 0.64, 'eröffnet': 0, 'die': 0.75, 'Vernehmlassung': 0, 'für': 0.56, 'einen': 0.15, 'flächendeckenden': 0.27, 'Betrieb': 0.38, 'von': 0, 'EV': 0.18, '…': 0}",neutral,"[0.7624582, 0.037843723, 0.19969803]",,,,,,,neutral
50.0,25.0,57.0,-0.1,neutral,RT @CCC_CH: Immer mehr der Jungparteien befürworten den E-Voting-Stopp - angeblich soll dieser Abstimmungskanal für die Jungen und Digital-…,immer mehr jungparteien befürworten e voting stopp angeblich abstimmungskanal jung digital,,,,,,,,,,,,,"{'Immer': 0, 'mehr': 0.07, 'der': 0.12, 'Jungparteien': 0.09, 'befürworten': 0, 'den': 0.12, 'E-Voting-Stopp': 0.05, 'angeblich': 0, 'soll': 0, 'dieser': 0.11, 'Abstimmungskanal': 0.09, 'für': 0.26, 'die': 0.12, 'Jungen': 0, 'und': 0.14, 'Digital-': 0, '…': 0}",neutral,"[0.60028046, 0.3517848, 0.047934745]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: .@GrueneBasel (via @micwue) fordert den Stopp der 100%-Ausdehnung E-Voting für den Kanton @BaselStadt, für die CHF 5 Millionen…",via fordern stopp ausdehnung e voting kanton chf millionen,,,,,,,,,,,,,"{'via': 0.08, 'fordert': 0.42, 'den': 0.27, 'Stopp': 0, 'der': 0.27, '100%-Ausdehnung': 0.25, 'E-Voting': 0, 'für': 1.0, 'Kanton': 0.24, 'die': 0.27, 'CHF': 0.6, 'Millionen': 0, '…': 0}",positive,"[0.2663533, 0.06944714, 0.6641996]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@bismar01 ... 2 Finger auflegen und spreizen ... Digitalisierung macht auch bei Etiketten nicht halt .. :-),finger auflegen spreizen digitalisierung etiketten halt,,,,,,,,,,,,,,,,"{'...': 0, 'Finger': 0, 'auflegen': 0, 'und': 0.05, 'spreizen': 0.07, 'Digitalisierung': 0, 'macht': 0, 'auch': 0, 'bei': 0, 'Etiketten': 0.12, 'nicht': 1.0, 'halt': 0, '..': 0}",neutral,"[0.47861364, 0.42807424, 0.093312]",,,,neutral
50.0,75.0,57.0,0.0,neutral,Digitalisierung in der Schule: Ende der Kreidezeit? #srf https://t.co/hkG9nKtNTy,digitalisierung schule ende kreidezeit srf,,,,,,,,,,,,,,,,"{'Digitalisierung': 0, 'in': 0.23, 'der': 0.18, 'Schule': 0.16, 'Ende': 0.33, 'Kreidezeit': 0.42000000000000004, 'srf': 0.57}",neutral,"[0.9083035, 0.016240712, 0.07545568]",,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @kasparsutter: Das Herzstück für den öffentlichen Verkehr nicht finanzieren, aber ganz viele Autobahntunnels bauen. Nicht mit uns. https…",herzstück öffentlich verkehr finanzieren ganz autobahntunnels bauen https,,,,,,,,,,,,,,,,,,,"{'Das': 0.09, 'Herzstück': 0, 'für': 0, 'den': 0.09, 'öffentlichen': 0.06, 'Verkehr': 0, 'nicht': 0.18, 'finanzieren': 0.08, 'aber': 0.17, 'ganz': 0, 'viele': 0.1, 'Autobahntunnels': 0.16499999999999998, 'bauen': 0.17, 'Nicht': 0.18, 'mit': 0.15, 'uns': 0.17, 'https': 1.0, '…': 0}",neutral,"[0.8003685, 0.14486778, 0.054763734]",neutral
